# Kristof T. Schütt, Technische Universität Berlin
# datestring citations hindex i10index
2015-12-31 16 none none
2016-12-31 38 none none
2017-12-31 183 none none
2018-12-31 651 none none
2019-12-31 1454 none none
2020-09-19 2449 14 16
2020-09-21 2449 14 16
2020-09-23 2462 14 16
2020-09-25 2462 14 16
2020-09-27 2465 14 16
2020-09-29 2465 14 16
2020-10-01 2488 14 16
2020-10-03 2503 14 16
2020-10-05 2503 14 16
2020-10-07 2509 14 16
2020-10-09 2512 14 16
2020-10-11 2524 14 16
2020-10-13 2534 14 16
2020-10-15 2534 14 16
2020-10-17 2554 14 16
2020-10-19 2554 14 16
2020-10-21 2577 14 16
2020-10-23 2578 14 16
2020-10-25 2591 14 16
2020-10-27 2600 14 16
2020-10-29 2600 14 16
2020-10-31 2617 14 16
2020-11-01 2617 14 16
2020-11-03 2640 14 16
2020-11-05 2643 14 16
2020-11-07 2653 14 16
2020-11-09 2653 14 16
2020-11-11 2683 14 17
2020-11-13 2681 14 17
2020-11-15 2700 14 17
2020-11-17 2718 14 17
2020-11-19 2718 14 17
2020-11-21 2711 14 17
2020-11-23 2738 14 17
2020-11-25 2751 14 17
2020-11-27 2754 14 17
2020-11-29 2757 14 17
2020-12-01 2765 15 17
2020-12-03 2765 15 17
2020-12-05 2780 15 17
2020-12-07 2780 15 17
2020-12-09 2802 15 17
2020-12-11 2815 15 17
2020-12-13 2818 15 17
2020-12-15 2818 15 17
2020-12-17 2814 15 17
2020-12-19 2844 15 17
2020-12-21 2844 15 17
2020-12-23 2869 15 17
2020-12-25 2870 15 17
2020-12-27 2883 15 17
2020-12-29 2900 15 17
2020-12-31 2895 15 17
2021-01-01 2895 15 17
2021-01-03 2908 15 17
2021-01-05 2911 15 17
2021-01-07 2911 15 17
2021-01-09 2931 15 17
2021-01-11 2931 15 17
2021-01-13 2934 15 17
2021-01-15 2940 15 17
2021-01-17 2951 15 17
2021-01-19 2951 15 17
2021-01-21 2951 15 17
2021-01-23 2951 15 17
2021-01-25 2967 15 17
2021-01-27 2990 15 17
2021-01-29 2992 15 17
2021-01-31 3006 15 17
2021-02-01 3016 15 17
2021-02-03 3016 15 17
2021-02-05 3022 15 17
2021-02-07 3026 15 17
2021-02-09 3026 15 17
2021-02-11 3041 15 17
2021-02-13 3067 15 17
2021-02-15 3072 15 17
2021-02-17 3080 15 17
2021-02-19 3082 15 17
2021-02-23 3098 15 17
2021-02-25 3123 15 17
2021-02-27 3132 15 17
2021-03-01 3135 15 17
2021-03-03 3143 15 17
2021-03-05 3145 15 17
2021-03-07 3163 15 17
2021-03-09 3174 16 17
2021-03-11 3174 16 17
2021-03-13 3179 16 17
2021-03-15 3179 16 17
2021-03-17 3205 16 18
2021-03-19 3207 16 18
2021-03-21 3213 16 18
2021-03-23 3235 16 18
2021-03-25 3235 16 18
2021-03-27 3247 16 17
2021-03-29 3247 16 17
2021-03-31 3258 16 18
2021-04-01 3257 16 18
2021-04-03 3271 16 17
2021-04-05 3271 16 17
2021-04-07 3308 16 19
2021-04-09 3313 16 19
2021-04-11 3318 16 20
2021-04-13 3327 16 20
2021-04-15 3332 16 20
2021-04-17 3332 16 20
2021-04-19 3334 16 20
2021-04-21 3342 16 20
2021-04-23 3342 16 20
2021-04-25 3353 16 20
2021-04-27 3362 16 20
2021-04-29 3362 16 20
2021-05-01 3362 16 20
2021-05-03 3370 16 20
2021-05-05 3382 16 20
2021-05-07 3388 16 20
2021-05-09 3393 16 20
2021-05-13 3405 16 20
2021-05-15 3412 16 20
2021-05-17 3412 16 20
2021-05-19 3431 16 20
2021-05-21 3424 16 20
2021-05-23 3434 16 20
2021-05-25 3466 16 20
2021-05-27 3466 16 20
2021-05-29 3475 16 20
2021-05-31 3485 16 20
2021-06-01 3485 16 20
2021-06-03 3507 16 20
2021-06-05 3519 16 20
2021-06-07 3519 16 20
2021-06-09 3537 16 20
2021-06-11 3543 16 20
2021-06-13 3582 17 21
2021-06-15 3599 17 21
2021-06-17 3601 17 21
2021-06-19 3624 17 21
2021-06-21 3624 17 21
2021-06-23 3661 17 21
2021-06-25 3662 17 21
2021-06-27 3662 17 21
2021-06-29 3662 17 21
2021-07-01 3677 17 20
2021-07-03 3687 17 20
2021-07-05 3708 17 20
2021-07-07 3711 17 20
2021-07-09 3724 17 20
2021-07-11 3733 17 20
2021-07-13 3733 17 20
