# Alexander Binder, Assistant Prof., Singapore University of Technology and Design (SUTD)
# datestring citations hindex i10index
2010-12-31 22 none none
2011-12-31 69 none none
2012-12-31 152 none none
2013-12-31 243 none none
2014-12-31 332 none none
2015-12-31 406 none none
2016-12-31 582 none none
2017-12-31 866 none none
2018-12-31 1402 none none
2019-12-31 2585 none none
2020-09-17 3769 20 39
2020-09-19 3780 20 39
2020-09-21 3780 20 39
2020-09-23 3786 20 39
2020-09-25 3798 20 38
2020-09-27 3832 20 38
2020-09-29 3857 20 39
2020-10-01 3857 20 39
2020-10-03 3876 20 38
2020-10-05 3876 20 38
2020-10-07 3905 20 39
2020-10-09 3912 20 39
2020-10-11 3920 20 38
2020-10-13 3939 20 39
2020-10-15 3940 20 39
2020-10-17 3962 20 39
2020-10-19 3962 20 39
2020-10-21 3980 20 39
2020-10-23 3981 20 39
2020-10-25 3997 20 39
