# Philipp Seegerer, Doctoral Researcher, Machine Learning Group, TU Berlin
# datestring citations hindex i10index
2014-12-31 3 none none
2015-12-31 20 none none
2016-12-31 41 none none
2017-12-31 59 none none
2018-12-31 75 none none
2019-12-31 150 none none
2020-09-19 273 7 6
2020-09-21 273 7 6
2020-09-23 273 7 6
2020-09-25 268 7 6
2020-09-27 268 7 6
2020-09-29 277 7 6
2020-10-01 277 7 6
2020-10-03 274 7 6
2020-10-05 274 7 6
2020-10-07 282 7 6
2020-10-09 282 7 6
2020-10-11 276 7 6
2020-10-13 284 7 6
2020-10-15 284 7 6
2020-10-17 286 7 6
2020-10-19 286 7 6
2020-10-21 287 7 6
2020-10-23 287 7 6
2020-10-25 288 7 6
2020-10-27 290 7 6
2020-10-29 290 7 6
2020-10-31 291 7 6
2020-11-01 291 7 6
2020-11-03 295 7 6
2020-11-05 295 7 6
2020-11-07 295 7 6
2020-11-09 295 7 6
2020-11-11 295 7 6
2020-11-13 295 7 6
2020-11-15 297 8 6
2020-11-17 298 8 6
2020-11-19 298 8 6
2020-11-21 298 8 6
2020-11-23 300 8 6
2020-11-25 297 8 6
2020-11-27 303 8 6
2020-11-29 304 8 6
