# Arno Villringer, Director, Max Planck Society
# datestring citations hindex i10index
1994-12-31 145 none none
1995-12-31 322 none none
1996-12-31 536 none none
1997-12-31 899 none none
1998-12-31 1287 none none
1999-12-31 1745 none none
2000-12-31 2248 none none
2001-12-31 2829 none none
2002-12-31 3597 none none
2003-12-31 4466 none none
2004-12-31 5521 none none
2005-12-31 6702 none none
2006-12-31 8032 none none
2007-12-31 9528 none none
2008-12-31 11076 none none
2009-12-31 12705 none none
2010-12-31 14498 none none
2011-12-31 16521 none none
2012-12-31 19178 none none
2013-12-31 21898 none none
2014-12-31 25127 none none
2015-12-31 28314 none none
2016-12-31 31834 none none
2017-12-31 35438 none none
2018-12-31 39168 none none
2019-12-31 43206 none none
2020-12-31 47566 none none
2021-12-31 52411 none none
2022-12-03 58198 118 529
2022-12-05 58198 118 529
2022-12-07 58233 118 529
2022-12-09 58273 118 529
2022-12-11 58289 118 529
2022-12-13 58289 118 529
2022-12-15 58379 118 529
2022-12-17 58421 118 529
2022-12-19 58421 118 529
2022-12-21 58484 118 529
2022-12-23 58510 118 529
2022-12-25 58533 118 529
2022-12-27 58592 118 531
2022-12-29 58617 118 531
2022-12-31 58634 118 531
2023-01-01 58634 118 531
2023-01-03 58672 118 532
2023-01-05 58721 118 532
2023-01-07 58755 118 532
2023-01-09 58755 118 532
2023-01-11 58817 118 532
2023-01-13 58832 118 532
2023-01-15 58874 118 532
2023-01-17 58917 118 532
2023-01-19 58953 118 533
2023-01-21 58953 118 533
2023-01-23 58979 118 533
2023-01-25 58979 118 533
2023-01-27 59069 118 532
2023-01-29 59125 117 532
2023-01-31 59151 117 532
2023-02-01 59151 117 532
2023-02-03 59192 118 532
2023-02-05 59247 118 532
2023-02-07 59285 118 532
2023-02-09 59308 118 532
2023-02-11 59351 118 533
2023-02-13 59351 118 533
2023-02-15 59394 118 535
2023-02-17 59419 118 535
2023-02-19 59453 118 535
2023-02-21 59480 118 535
2023-02-23 59507 118 535
2023-02-25 59549 118 535
2023-02-27 59549 118 535
2023-03-01 59613 118 536
2023-03-03 59648 118 536
2023-03-05 59681 118 537
2023-03-07 59736 118 537
2023-03-09 59765 118 537
2023-03-11 59800 118 537
2023-03-13 59800 118 537
2023-03-15 59847 118 537
2023-03-17 59876 119 537
2023-03-19 59919 119 537
2023-03-21 59973 119 537
2023-03-23 59992 119 537
2023-03-25 60033 119 537
2023-03-27 60033 119 537
2023-03-29 60077 119 537
2023-03-31 60102 119 537
2023-04-01 60142 119 538
2023-04-03 60142 119 538
2023-04-05 60215 119 538
2023-04-07 60252 119 538
2023-04-09 60287 119 539
2023-04-11 60339 119 539
2023-04-13 60376 119 539
2023-04-15 60400 119 539
2023-04-17 60400 119 539
2023-04-19 60437 119 539
2023-04-21 60468 120 539
2023-04-23 60512 120 539
2023-04-27 60583 120 539
2023-04-29 60628 120 539
2023-05-01 60628 120 539
2023-05-03 60686 120 540
2023-05-05 60705 120 541
2023-05-07 60732 120 541
2023-05-09 60732 120 541
2023-05-11 60817 120 541
2023-05-13 60832 120 542
2023-05-15 60832 120 542
2023-05-17 60886 120 542
2023-05-19 60917 120 542
2023-05-21 60948 120 542
2023-05-23 60970 120 542
2023-05-25 60984 120 541
2023-05-27 61022 120 542
2023-05-29 61022 120 542
2023-05-31 61059 120 542
2023-06-01 61081 120 542
2023-06-03 61124 120 542
2023-06-05 61124 120 542
2023-06-07 61172 120 542
2023-06-09 61222 120 542
2023-06-11 61264 120 543
2023-06-13 61346 120 543
2023-06-15 61396 120 543
2023-06-17 61442 120 543
2023-06-19 61442 120 543
2023-06-21 61530 120 544
2023-06-23 61548 120 544
2023-06-25 61587 120 544
2023-06-27 61676 120 545
2023-06-29 61676 120 545
2023-07-01 61676 120 545
2023-07-03 61678 120 546
2023-07-05 61685 120 546
2023-07-07 61706 120 546
2023-07-09 61737 120 546
2023-07-11 61771 120 547
2023-07-13 61810 120 547
2023-07-23 61962 120 548
2023-07-25 61962 120 548
2023-07-27 62008 120 548
2023-07-29 62029 120 549
2023-07-31 62066 120 548
2023-08-01 62144 120 549
2023-08-03 62162 120 549
2023-08-05 62162 120 549
2023-08-07 62198 120 550
2023-08-09 62225 120 550
2023-08-11 62249 120 550
2023-08-13 62275 120 550
2023-08-15 62313 120 550
2023-08-17 62347 120 552
2023-08-19 62376 120 552
2023-08-21 62376 120 552
2023-08-23 62428 120 552
2023-08-25 62451 120 552
2023-08-27 62483 120 552
2023-08-29 62548 120 552
2023-08-31 62594 120 553
2023-09-01 62594 120 553
2023-09-03 62622 120 554
2023-09-05 62667 120 554
2023-09-07 62667 120 554
