# Christian Breiteneder, Vienna University of Technology
# datestring citations hindex i10index
1993-12-31 13 none none
1994-12-31 54 none none
1995-12-31 108 none none
1996-12-31 163 none none
1997-12-31 202 none none
1998-12-31 259 none none
1999-12-31 317 none none
2000-12-31 362 none none
2001-12-31 396 none none
2002-12-31 437 none none
2003-12-31 507 none none
2004-12-31 548 none none
2005-12-31 583 none none
2006-12-31 633 none none
2007-12-31 695 none none
2008-12-31 738 none none
2009-12-31 775 none none
2010-12-31 813 none none
2011-12-31 870 none none
2012-12-31 946 none none
2013-12-31 1019 none none
2014-12-31 1107 none none
2015-12-31 1219 none none
2016-12-31 1319 none none
2017-12-31 1445 none none
2018-12-31 1576 none none
2019-12-31 1710 none none
2020-09-19 1856 20 34
2020-09-21 1856 20 34
2020-09-23 1855 20 34
2020-09-25 1853 20 34
2020-09-27 1860 20 34
2020-09-29 1863 20 34
2020-10-01 1863 20 34
2020-10-03 1868 20 34
2020-10-05 1868 20 34
2020-10-07 1871 20 34
2020-10-09 1871 20 34
2020-10-11 1870 20 34
2020-10-13 1873 20 34
2020-10-15 1874 20 34
2020-10-17 1876 20 34
2020-10-19 1876 20 34
2020-10-21 1875 20 34
2020-10-23 1875 20 34
2020-10-25 1878 20 34
2020-10-27 1879 20 34
2020-10-29 1879 20 34
2020-10-31 1883 21 34
2020-11-01 1883 21 34
2020-11-03 1886 21 34
2020-11-05 1887 21 35
2020-11-07 1888 21 35
2020-11-09 1888 21 35
2020-11-11 1890 21 35
2020-11-13 1891 21 35
2020-11-15 1893 21 35
2020-11-17 1892 21 35
2020-11-19 1892 21 35
2020-11-21 1895 21 35
2020-11-23 1896 21 35
2020-11-25 1898 21 35
2020-11-27 1899 21 35
2020-11-29 1900 21 35
2020-12-01 1899 21 35
2020-12-03 1900 21 35
2020-12-05 1900 21 35
2020-12-07 1903 21 35
2020-12-09 1903 21 35
2020-12-11 1904 21 35
2020-12-13 1904 21 35
2020-12-15 1904 21 35
2020-12-17 1907 21 35
2020-12-19 1908 21 35
2020-12-21 1912 21 35
2020-12-23 1912 21 35
2020-12-25 1913 21 35
2020-12-27 1913 21 35
2020-12-29 1917 21 35
2020-12-31 1918 21 35
2021-01-01 1918 21 35
2021-01-03 1926 21 35
2021-01-05 1926 21 35
2021-01-07 1932 21 35
2021-01-09 1934 21 35
2021-01-11 1934 21 35
2021-01-13 1937 21 35
2021-01-15 1939 21 35
2021-01-17 1939 21 35
2021-01-19 1939 21 35
2021-01-21 1939 21 35
2021-01-23 1939 21 35
2021-01-25 2066 21 35
2021-01-27 2070 21 35
2021-01-29 2070 21 35
2021-01-31 2070 21 35
2021-02-01 2071 21 35
2021-02-03 2071 21 35
2021-02-05 2072 21 35
2021-02-07 2072 21 35
2021-02-09 2072 21 35
2021-02-11 2076 21 35
2021-02-13 2081 21 35
2021-02-15 2084 21 35
2021-02-17 2084 21 35
2021-02-19 2086 21 35
2021-02-23 2085 21 35
2021-02-25 2086 21 35
2021-02-27 2088 21 35
2021-03-01 2088 21 35
2021-03-03 2088 21 35
2021-03-05 2088 21 35
2021-03-07 2090 21 35
2021-03-09 2091 21 35
2021-03-11 2091 21 35
2021-03-13 2091 21 35
2021-03-15 2091 21 35
2021-03-17 2094 21 35
2021-03-19 2096 21 35
2021-03-21 2099 21 35
2021-03-23 2101 21 35
2021-03-25 2101 21 35
2021-03-27 2101 21 35
2021-03-29 2103 21 35
2021-03-31 2107 21 36
2021-04-01 2107 21 36
2021-04-03 2109 21 36
2021-04-05 2109 21 36
2021-04-07 2112 21 37
2021-04-09 2112 21 37
2021-04-11 2112 21 37
2021-04-13 2114 21 37
2021-04-15 2114 21 37
2021-04-17 2117 21 37
2021-04-19 2117 21 37
