# Felix Sattler, Fraunhofer Heinrich Hertz Institute
# datestring citations hindex i10index
2018-12-31 2 none none
2019-12-31 40 none none
2020-09-17 141 4 3
2020-09-19 142 4 3
2020-09-21 142 4 3
2020-09-23 143 4 3
2020-09-25 141 4 3
2020-09-27 145 4 3
2020-09-29 147 4 3
2020-10-01 147 4 3
2020-10-03 147 4 3
2020-10-05 147 4 3
2020-10-07 152 4 3
2020-10-09 153 4 3
2020-10-11 153 4 3
2020-10-13 153 4 3
2020-10-15 155 4 3
2020-10-17 158 4 3
2020-10-19 158 4 3
2020-10-21 161 4 3
2020-10-23 161 4 3
2020-10-25 163 4 3
2020-10-27 163 4 3
2020-10-29 163 4 3
2020-10-31 164 4 3
2020-11-01 164 4 3
2020-11-03 164 4 3
2020-11-05 165 4 3
2020-11-07 165 4 3
2020-11-09 165 4 3
2020-11-11 168 4 3
2020-11-13 167 4 3
2020-11-15 170 4 3
2020-11-17 170 4 3
2020-11-19 171 4 3
2020-11-21 171 4 3
2020-11-23 174 4 3
2020-11-25 174 4 3
2020-11-27 175 4 3
2020-11-29 179 4 3
2020-12-01 183 4 3
2020-12-03 183 4 3
2020-12-05 183 4 3
2020-12-07 188 4 3
2020-12-09 190 4 3
2020-12-11 190 4 3
2020-12-13 194 4 3
2020-12-15 194 4 3
2020-12-17 197 4 3
2020-12-19 197 4 3
2020-12-21 204 4 3
2020-12-23 207 4 3
2020-12-25 211 4 3
2020-12-27 214 4 3
2020-12-29 214 4 3
2020-12-31 211 4 3
2021-01-01 211 4 3
2021-01-03 216 4 3
2021-01-05 216 4 3
2021-01-07 220 4 3
2021-01-09 224 4 3
2021-01-11 224 4 3
2021-01-13 228 4 3
2021-01-15 229 4 3
2021-01-17 230 4 3
2021-01-19 230 4 3
2021-01-21 230 4 3
2021-01-23 230 4 3
2021-01-25 243 4 3
2021-01-27 246 4 3
2021-01-29 246 4 3
2021-01-31 248 4 3
2021-02-01 251 4 3
2021-02-03 251 4 3
