# Onyebuchi A. Arah, Professor at UCLA; Honorary Skou Professor at Aarhus University
# datestring citations hindex i10index
1991-12-31 85 none none
1992-12-31 167 none none
1993-12-31 256 none none
1994-12-31 363 none none
1995-12-31 483 none none
1996-12-31 606 none none
1997-12-31 731 none none
1998-12-31 893 none none
1999-12-31 1089 none none
2000-12-31 1289 none none
2001-12-31 1535 none none
2002-12-31 1786 none none
2003-12-31 2057 none none
2004-12-31 2326 none none
2005-12-31 2680 none none
2006-12-31 3094 none none
2007-12-31 3558 none none
2008-12-31 4105 none none
2009-12-31 4670 none none
2010-12-31 5279 none none
2011-12-31 5977 none none
2012-12-31 6753 none none
2013-12-31 7806 none none
2014-12-31 9005 none none
2015-12-31 10308 none none
2016-12-31 11727 none none
2017-12-31 13257 none none
2018-12-31 14831 none none
2019-12-31 16442 none none
2020-12-31 18348 none none
2021-12-31 20373 none none
2022-12-03 22832 58 180
2022-12-05 22832 58 180
2022-12-07 22845 58 180
2022-12-09 22857 58 180
2022-12-11 22871 58 180
2022-12-13 22871 58 180
2022-12-15 22910 58 180
2022-12-17 22909 58 180
2022-12-19 22909 58 180
2022-12-21 22942 58 179
2022-12-23 22948 58 179
