# Francois Hug, Université de Nantes
# datestring citations hindex i10index
2005-12-31 22 none none
2006-12-31 75 none none
2007-12-31 127 none none
2008-12-31 209 none none
2009-12-31 348 none none
2010-12-31 459 none none
2011-12-31 706 none none
2012-12-31 1000 none none
2013-12-31 1361 none none
2014-12-31 1816 none none
2015-12-31 2332 none none
2016-12-31 2910 none none
2017-12-31 3573 none none
2018-12-31 4469 none none
2019-12-31 5245 none none
2020-09-19 6005 45 110
2020-09-21 6005 45 110
2020-09-23 6016 45 110
2020-09-25 6018 45 110
2020-09-27 6030 45 110
2020-09-29 6030 45 110
2020-10-01 6035 45 110
2020-10-03 6041 45 110
2020-10-05 6051 45 110
2020-10-07 6062 45 110
2020-10-09 6068 45 110
2020-10-11 6074 46 110
2020-10-13 6083 45 110
2020-10-15 6091 46 110
2020-10-17 6099 45 110
2020-10-19 6099 45 110
2020-10-21 6112 45 110
2020-10-23 6116 46 110
2020-10-25 6130 46 110
2020-10-27 6138 46 110
2020-10-29 6138 46 110
2020-10-31 6144 46 110
2020-11-01 6144 46 110
2020-11-03 6192 46 110
2020-11-05 6193 45 110
2020-11-07 6196 46 110
2020-11-09 6196 46 110
2020-11-11 6200 46 111
2020-11-13 6201 46 111
2020-11-15 6201 45 111
2020-11-17 6214 46 111
2020-11-19 6214 46 111
2020-11-21 6216 46 111
2020-11-23 6226 45 111
2020-11-25 6235 46 111
2020-11-27 6233 46 111
2020-11-29 6237 46 111
2020-12-01 6258 46 112
2020-12-03 6257 46 112
2020-12-05 6274 46 112
2020-12-07 6274 46 112
2020-12-09 6278 46 112
2020-12-11 6235 46 110
2020-12-13 6243 46 110
2020-12-15 6243 46 110
2020-12-17 6260 46 110
2020-12-19 6268 46 110
2020-12-21 6268 46 110
2020-12-23 6281 46 110
2020-12-25 6286 46 110
2020-12-27 6302 46 110
2020-12-29 6315 46 110
2020-12-31 6315 46 110
2021-01-01 6315 46 110
2021-01-03 6295 46 109
2021-01-05 6302 46 109
2021-01-07 6303 46 110
2021-01-09 6307 46 110
2021-01-11 6307 46 110
2021-01-13 6323 46 110
2021-01-15 6327 46 110
2021-01-17 6332 46 110
2021-01-19 6332 46 110
2021-01-21 6332 46 110
2021-01-23 6332 46 110
2021-01-25 6375 46 112
2021-01-27 6400 46 112
2021-01-29 6404 46 112
2021-01-31 6421 46 113
2021-02-01 6428 46 114
2021-02-03 6428 46 114
2021-02-05 6431 46 114
2021-02-07 6444 46 114
2021-02-09 6444 46 114
2021-02-11 6457 46 114
2021-02-13 6463 46 114
2021-02-15 6472 46 115
2021-02-17 6492 47 115
2021-02-19 6495 47 115
2021-02-23 6502 47 115
2021-02-25 6518 47 115
2021-02-27 6530 47 115
2021-03-01 6530 47 115
2021-03-03 6543 47 115
2021-03-05 6547 47 115
2021-03-07 6556 47 115
2021-03-09 6563 47 116
2021-03-11 6563 47 116
2021-03-13 6588 47 116
2021-03-15 6588 47 116
2021-03-17 6610 47 116
2021-03-19 6614 47 116
2021-03-21 6634 47 116
2021-03-23 6648 48 116
2021-03-25 6648 48 116
2021-03-27 6648 48 116
2021-03-29 6664 48 116
2021-03-31 6688 48 116
2021-04-01 6688 48 116
2021-04-03 6689 48 116
2021-04-05 6689 48 116
2021-04-07 6708 48 116
2021-04-09 6708 48 116
2021-04-11 6737 48 116
2021-04-13 6748 48 116
2021-04-15 6748 48 116
2021-04-17 6748 48 116
2021-04-19 6757 48 116
2021-04-21 6769 48 116
2021-04-23 6770 48 116
2021-04-25 6782 48 116
2021-04-27 6782 48 116
2021-04-29 6797 48 116
2021-05-01 6797 48 116
2021-05-03 6800 48 116
2021-05-05 6781 49 116
2021-05-07 6787 49 116
2021-05-09 6793 49 116
2021-05-13 6806 49 117
2021-05-15 6813 49 117
2021-05-17 6813 49 117
2021-05-19 6823 49 117
2021-05-21 6826 49 117
2021-05-23 6865 49 117
2021-05-25 6878 49 117
2021-05-27 6878 49 117
2021-05-29 6881 49 117
2021-05-31 6884 49 117
2021-06-01 6902 49 117
2021-06-03 6907 49 117
2021-06-05 6914 49 117
2021-06-07 6914 49 117
2021-06-09 6922 49 117
2021-06-11 6929 49 117
2021-06-13 6944 49 117
2021-06-15 6959 49 117
2021-06-17 6962 49 117
2021-06-19 6964 49 117
2021-06-21 6964 49 117
2021-06-23 6978 49 117
2021-06-25 6977 49 117
2021-06-27 6977 49 117
2021-06-29 6977 49 117
2021-07-01 6969 49 117
2021-07-03 6973 49 117
2021-07-05 6980 49 117
2021-07-07 6989 49 118
2021-07-09 6996 49 118
2021-07-11 7004 49 118
2021-07-13 7004 49 118
2021-07-15 7013 49 118
2021-07-17 7014 49 118
2021-07-19 7014 49 118
2021-07-21 7026 49 118
2021-07-23 7030 49 118
2021-07-25 7039 49 118
2021-07-27 7040 49 118
2021-07-29 7040 49 118
2021-07-31 7043 49 118
2021-08-01 7045 49 118
2021-08-03 7052 49 118
2021-08-05 7052 49 118
2021-08-07 7054 49 118
2021-08-09 7065 49 118
2021-08-11 7076 49 118
2021-08-13 7076 49 118
2021-08-15 7085 49 118
2021-08-17 7094 49 118
2021-08-21 7104 49 118
2021-08-23 7104 49 118
2021-08-27 7127 49 118
2021-08-29 7138 49 119
2021-08-31 7146 49 119
2021-09-01 7146 49 119
2021-09-03 7144 49 119
2021-09-05 7153 49 119
2021-09-07 7165 49 120
2021-09-09 7165 49 120
2021-09-11 7168 49 120
2021-09-13 7173 49 120
2021-09-15 7180 49 120
2021-09-17 7182 49 120
2021-09-19 7196 49 120
2021-09-25 7211 50 120
2021-09-27 7221 50 121
2021-09-29 7225 50 121
2021-10-01 7226 50 121
2021-10-03 7236 50 121
2021-10-05 7236 50 121
2021-10-07 7243 50 121
2021-10-09 7243 50 121
2021-10-11 7250 50 121
2021-10-13 7255 50 121
2021-10-15 7258 50 121
2021-10-17 7258 50 121
2021-10-19 7265 50 121
2021-10-21 7275 50 121
2021-10-23 7281 50 121
2021-10-25 7295 50 122
2021-10-27 7305 50 122
2021-10-29 7313 50 122
2021-10-31 7316 50 122
2021-11-01 7316 50 122
2021-11-03 7322 50 122
2021-11-05 7328 50 122
2021-11-07 7334 50 122
2021-11-09 7334 50 122
2021-11-11 7341 50 122
2021-11-13 7349 50 122
2021-11-15 7349 50 122
2021-11-17 7365 50 123
2021-11-19 7366 50 123
2021-11-21 7376 50 123
2021-11-23 7393 50 124
2021-11-25 7395 50 124
2021-11-27 7403 50 124
2021-11-29 7403 50 124
2021-12-01 7412 50 125
2021-12-03 7414 50 125
2021-12-05 7419 50 125
2021-12-07 7430 50 125
2021-12-09 7439 50 125
2021-12-11 7447 50 126
2021-12-13 7447 50 126
2021-12-15 7471 51 127
2021-12-17 7485 51 128
2021-12-19 7494 51 128
2021-12-21 7504 51 128
2021-12-23 7508 51 128
2021-12-25 7515 51 128
2021-12-27 7515 51 128
2021-12-29 7532 51 129
2021-12-31 7533 51 129
2022-01-01 7536 51 129
2022-01-03 7536 51 129
2022-01-05 7542 51 129
2022-01-07 7543 51 129
2022-01-09 7558 51 129
2022-01-11 7571 51 129
2022-01-13 7574 51 129
2022-01-15 7582 51 129
2022-01-17 7582 51 129
2022-01-19 7599 51 129
2022-01-21 7603 51 129
