# Sven Dähne, Amazon
# datestring citations hindex i10index
2011-12-31 11 none none
2012-12-31 43 none none
2013-12-31 77 none none
2014-12-31 178 none none
2015-12-31 353 none none
2016-12-31 604 none none
2017-12-31 944 none none
2018-12-31 1344 none none
2019-12-31 1894 none none
2020-09-19 2373 24 32
2020-09-21 2373 24 32
2020-09-23 2374 24 32
2020-09-25 2374 24 32
2020-09-27 2381 24 32
2020-09-29 2387 24 32
2020-10-01 2387 24 32
2020-10-03 2391 24 32
2020-10-05 2391 24 32
2020-10-07 2401 24 32
2020-10-09 2407 24 32
2020-10-11 2409 24 32
2020-10-13 2421 24 32
2020-10-15 2421 24 32
2020-10-17 2428 24 32
2020-10-19 2428 24 32
2020-10-21 2436 24 32
2020-10-23 2436 24 32
2020-10-25 2431 24 32
2020-10-27 2449 24 32
2020-10-29 2449 24 32
2020-10-31 2447 24 32
2020-11-01 2447 24 32
2020-11-03 2462 24 32
2020-11-05 2466 24 32
2020-11-07 2469 24 32
2020-11-09 2469 24 32
2020-11-11 2485 24 32
2020-11-13 2485 24 32
2020-11-15 2490 24 32
2020-11-17 2499 24 32
2020-11-19 2499 24 32
2020-11-21 2486 24 32
2020-11-23 2508 24 32
2020-11-25 2499 24 32
2020-11-27 2513 24 32
2020-11-29 2519 24 32
2020-12-01 2510 24 32
2020-12-03 2512 24 32
2020-12-05 2512 24 32
2020-12-07 2531 24 32
2020-12-09 2529 24 32
2020-12-11 2533 24 32
2020-12-13 2552 24 32
2020-12-15 2552 24 32
2020-12-17 2544 24 32
