# Sun Jiamei, Singapore University of Technology and Design
# datestring citations hindex i10index
2017-12-31 3 none none
2018-12-31 10 none none
2019-12-31 19 none none
2020-09-19 25 3 1
2020-09-21 25 3 1
2020-09-23 25 3 1
2020-09-25 25 3 1
2020-09-27 25 3 1
2020-09-29 25 3 1
2020-10-01 25 3 1
2020-10-03 25 3 1
2020-10-05 25 3 1
2020-10-07 25 3 1
2020-10-09 25 3 1
2020-10-11 25 3 1
2020-10-13 26 3 1
2020-10-15 26 3 1
2020-10-17 26 3 1
2020-10-19 26 3 1
2020-10-21 26 3 1
2020-10-23 26 3 1
2020-10-25 26 3 1
2020-10-27 27 3 1
2020-10-29 27 3 1
2020-10-31 27 3 1
2020-11-01 27 3 1
2020-11-03 27 3 1
2020-11-05 27 3 1
2020-11-07 27 3 1
2020-11-09 27 3 1
2020-11-11 27 3 1
2020-11-13 27 3 1
2020-11-15 27 3 1
2020-11-17 27 3 1
2020-11-19 27 3 1
2020-11-21 27 3 1
2020-11-23 27 3 1
2020-11-25 27 3 1
2020-11-27 27 3 1
2020-11-29 27 3 1
2020-12-01 28 3 1
2020-12-03 28 3 1
2020-12-05 28 3 1
2020-12-07 28 3 1
2020-12-09 28 3 1
2020-12-11 28 3 1
2020-12-13 28 3 1
2020-12-15 28 3 1
2020-12-17 28 3 1
2020-12-19 28 3 1
2020-12-21 28 3 1
2020-12-23 29 3 1
2020-12-25 29 3 1
2020-12-27 29 3 1
2020-12-29 29 3 1
2020-12-31 29 3 1
2021-01-01 29 3 1
2021-01-03 29 3 1
2021-01-05 30 3 2
2021-01-07 30 3 2
2021-01-09 30 3 2
2021-01-11 30 3 2
2021-01-13 30 3 2
2021-01-15 30 3 2
2021-01-17 31 3 2
2021-01-19 31 3 2
2021-01-21 31 3 2
2021-01-23 31 3 2
2021-01-25 33 3 2
2021-01-27 33 3 2
2021-01-29 33 3 2
2021-01-31 33 3 2
2021-02-01 33 3 2
2021-02-03 33 3 2
2021-02-05 33 3 2
2021-02-07 33 3 2
2021-02-09 33 3 2
2021-02-11 33 3 2
2021-02-13 33 3 2
2021-02-15 33 3 2
2021-02-17 33 3 2
2021-02-19 33 3 2
2021-02-23 33 3 2
2021-02-25 33 3 2
2021-02-27 33 3 2
2021-03-01 33 3 2
2021-03-03 33 3 2
2021-03-05 33 3 2
2021-03-07 34 3 2
2021-03-09 34 3 2
2021-03-11 34 3 2
2021-03-13 34 3 2
2021-03-15 34 3 2
2021-03-17 34 3 2
2021-03-19 34 3 2
2021-03-21 34 3 2
2021-03-23 34 3 2
