# Alexander Bauer, TU Berlin, BBDC
# datestring citations hindex i10index
2014-12-31 2 none none
2015-12-31 5 none none
2016-12-31 9 none none
2017-12-31 18 none none
2018-12-31 27 none none
2019-12-31 44 none none
2020-09-19 53 4 2
2020-09-21 53 4 2
2020-09-23 53 4 2
2020-09-25 53 4 2
2020-09-27 55 4 2
2020-09-29 56 4 3
2020-10-01 56 4 3
2020-10-03 56 4 3
2020-10-05 56 4 3
2020-10-07 56 4 3
2020-10-09 56 4 3
2020-10-11 57 4 3
2020-10-13 57 4 3
2020-10-15 57 4 3
2020-10-17 57 4 3
2020-10-19 57 4 3
2020-10-21 57 4 3
2020-10-23 57 4 3
2020-10-25 57 4 3
2020-10-27 57 4 3
2020-10-29 57 4 3
2020-10-31 57 4 3
2020-11-01 57 4 3
