# Arturo Marban, Research Associate, Fraunhofer Heinrich Hertz Institute
# datestring citations hindex i10index
2014-12-31 5 none none
2015-12-31 11 none none
2016-12-31 14 none none
2017-12-31 18 none none
2018-12-31 28 none none
2019-12-31 59 none none
2020-12-23 111 6 5
2020-12-25 111 6 5
2020-12-27 114 6 5
2020-12-29 115 6 5
2020-12-31 117 6 5
2021-01-01 117 6 5
2021-01-03 118 6 5
2021-01-05 118 6 5
2021-01-07 117 6 5
2021-01-09 118 6 5
2021-01-11 118 6 5
2021-01-13 118 6 5
2021-01-15 119 6 5
2021-01-17 118 6 5
2021-01-19 118 6 5
2021-01-21 118 6 5
2021-01-23 118 6 5
2021-01-25 118 6 5
2021-01-27 119 6 5
2021-01-29 119 6 5
2021-01-31 119 6 5
2021-02-01 119 6 5
2021-02-03 119 6 5
2021-02-05 119 6 5
2021-02-07 120 6 5
2021-02-09 120 6 5
2021-02-11 121 6 5
2021-02-13 121 6 5
2021-02-15 121 6 5
2021-02-17 121 6 5
2021-02-19 121 6 5
2021-02-23 123 6 5
2021-02-25 123 6 5
2021-02-27 123 6 5
2021-03-01 123 6 5
2021-03-03 123 6 5
2021-03-05 123 6 5
2021-03-07 123 6 5
2021-03-09 127 7 5
2021-03-11 128 7 5
2021-03-13 128 7 5
2021-03-15 128 7 5
2021-03-17 128 7 5
2021-03-19 128 7 5
2021-03-21 128 7 5
2021-03-23 128 7 5
2021-03-25 128 7 5
2021-03-27 128 7 5
2021-03-29 133 7 5
2021-03-31 133 7 5
2021-04-01 133 7 5
2021-04-03 134 7 5
2021-04-05 134 7 5
2021-04-07 142 7 5
2021-04-09 142 7 5
2021-04-11 142 7 5
2021-04-13 143 7 5
2021-04-15 143 7 5
2021-04-17 143 7 5
2021-04-19 143 7 5
2021-04-21 143 7 5
2021-04-23 143 7 5
2021-04-25 145 7 5
2021-04-27 145 7 5
2021-04-29 146 7 5
2021-05-01 146 7 5
2021-05-03 146 7 5
2021-05-05 145 7 5
2021-05-07 145 7 5
2021-05-09 145 7 5
2021-05-13 146 7 5
2021-05-15 147 7 5
2021-05-17 147 7 5
2021-05-19 147 7 5
2021-05-21 147 7 5
2021-05-23 148 7 5
2021-05-25 149 7 6
2021-05-27 149 7 6
2021-05-29 149 7 6
2021-05-31 150 7 6
2021-06-01 150 7 6
2021-06-03 153 7 6
2021-06-05 154 7 6
2021-06-07 154 7 6
2021-06-09 155 7 6
2021-06-11 155 7 6
2021-06-13 156 7 6
2021-06-15 158 7 6
2021-06-17 158 7 6
2021-06-19 158 7 6
2021-06-21 159 7 6
2021-06-23 160 8 6
2021-06-25 160 8 6
2021-06-27 160 8 6
2021-06-29 160 8 6
2021-07-01 161 8 6
2021-07-03 162 8 6
2021-07-05 164 8 6
2021-07-07 164 8 6
2021-07-09 164 8 6
2021-07-11 164 8 6
2021-07-13 164 8 6
2021-07-15 165 8 6
2021-07-17 165 8 6
2021-07-19 166 8 6
2021-07-21 168 8 6
2021-07-23 169 8 6
2021-07-25 170 8 6
2021-07-27 170 8 6
2021-07-29 170 8 6
2021-07-31 170 8 6
2021-08-01 171 8 6
2021-08-03 171 8 6
2021-08-05 171 8 6
2021-08-07 171 8 6
2021-08-09 171 8 6
2021-08-11 171 8 6
2021-08-13 171 8 6
2021-08-15 171 8 6
2021-08-17 171 8 6
2021-08-21 171 8 6
2021-08-23 171 8 6
2021-08-27 174 8 6
2021-08-29 176 8 6
2021-08-31 176 8 6
2021-09-01 176 8 6
2021-09-03 176 8 6
2021-09-05 176 8 6
2021-09-07 176 8 6
2021-09-09 176 8 6
2021-09-11 176 8 6
2021-09-13 176 8 6
2021-09-15 181 8 6
2021-09-17 181 8 6
2021-09-19 181 8 6
2021-09-21 181 8 6
2021-09-23 182 8 6
2021-09-25 182 8 6
2021-09-27 182 8 6
2021-09-29 185 8 7
2021-10-01 185 8 7
2021-10-03 185 8 7
2021-10-05 185 8 7
2021-10-07 185 8 7
2021-10-09 185 8 7
2021-10-11 188 8 7
2021-10-13 188 8 7
2021-10-15 188 8 7
2021-10-17 188 8 7
2021-10-19 189 8 7
2021-10-21 190 8 7
2021-10-23 190 8 7
2021-10-25 190 8 7
