# Tobias Scheffer, University of Potsdam, Germany
# datestring citations hindex i10index
2000-12-31 23 none none
2001-12-31 51 none none
2002-12-31 77 none none
2003-12-31 123 none none
2004-12-31 170 none none
2005-12-31 291 none none
2006-12-31 439 none none
2007-12-31 607 none none
2008-12-31 860 none none
2009-12-31 1192 none none
2010-12-31 1513 none none
2011-12-31 1865 none none
2012-12-31 2297 none none
2013-12-31 2700 none none
2014-12-31 3072 none none
2015-12-31 3455 none none
2016-12-31 3901 none none
2017-12-31 4331 none none
2018-12-31 4807 none none
2019-12-31 5281 none none
2020-12-31 5862 none none
2021-12-31 6479 none none
2022-12-03 7158 40 73
2022-12-05 7158 40 73
2022-12-07 7169 40 73
2022-12-09 7172 40 73
2022-12-11 7177 40 73
2022-12-13 7177 40 73
2022-12-15 7179 40 73
2022-12-17 7186 40 73
2022-12-19 7186 40 73
2022-12-21 7188 40 73
2022-12-23 7193 40 73
2022-12-25 7199 40 73
2022-12-27 7206 41 73
2022-12-29 7206 41 73
2022-12-31 7211 41 73
2023-01-01 7211 41 73
2023-01-03 7218 41 73
2023-01-05 7222 41 73
2023-01-07 7222 41 73
2023-01-09 7222 41 73
2023-01-11 7226 41 73
2023-01-13 7226 41 73
2023-01-15 7232 41 73
2023-01-17 7240 41 73
2023-01-19 7242 41 73
2023-01-21 7242 41 73
2023-01-23 7252 41 74
2023-01-25 7252 41 74
2023-01-27 7255 40 75
2023-01-29 7264 40 75
2023-01-31 7271 40 75
2023-02-01 7271 40 75
2023-02-03 7274 40 75
2023-02-05 7285 41 75
2023-02-07 7289 41 75
2023-02-09 7298 41 75
2023-02-11 7302 41 75
