# Lilian Lacourpaille, Post doctorant, Université de Nantes
# datestring citations hindex i10index
2012-12-31 3 none none
2013-12-31 20 none none
2014-12-31 53 none none
2015-12-31 118 none none
2016-12-31 212 none none
2017-12-31 335 none none
2018-12-31 501 none none
2019-12-31 677 none none
2020-09-19 817 15 18
2020-09-21 817 15 18
2020-09-23 822 15 18
2020-09-25 822 15 18
2020-09-27 826 15 18
2020-09-29 827 15 18
2020-10-01 827 15 18
2020-10-03 832 15 18
2020-10-05 832 15 18
2020-10-07 833 15 18
2020-10-09 835 15 18
2020-10-11 835 15 18
2020-10-13 839 15 18
2020-10-15 841 15 18
2020-10-17 842 15 18
2020-10-19 842 15 18
2020-10-21 848 15 18
2020-10-23 849 15 18
2020-10-25 852 15 18
2020-10-27 852 15 18
2020-10-29 852 15 18
2020-10-31 853 15 18
2020-11-01 853 15 18
2020-11-03 859 15 18
2020-11-05 859 15 18
2020-11-07 860 15 18
2020-11-09 860 15 18
2020-11-11 862 15 18
2020-11-13 862 15 18
2020-11-15 860 15 18
2020-11-17 860 15 18
2020-11-19 866 15 18
2020-11-21 867 15 18
2020-11-23 868 15 18
2020-11-25 871 15 18
2020-11-27 870 15 18
2020-11-29 870 15 18
2020-12-01 877 16 18
2020-12-03 877 16 18
2020-12-05 877 16 18
2020-12-07 883 16 18
2020-12-09 884 16 18
2020-12-11 877 16 18
2020-12-13 880 16 18
2020-12-15 880 16 18
2020-12-17 882 16 18
2020-12-19 883 16 18
2020-12-21 883 16 18
2020-12-23 888 16 18
2020-12-25 889 16 18
2020-12-27 894 16 19
2020-12-29 900 16 19
2020-12-31 900 16 19
2021-01-01 900 16 19
2021-01-03 901 16 19
2021-01-05 902 16 19
2021-01-07 902 16 19
2021-01-09 903 16 19
2021-01-11 903 16 19
2021-01-13 906 16 19
2021-01-15 907 16 19
2021-01-17 911 16 19
2021-01-19 911 16 19
2021-01-21 911 16 19
2021-01-23 911 16 19
2021-01-25 913 16 19
2021-01-27 913 16 19
2021-01-29 914 16 19
2021-01-31 916 16 19
2021-02-01 918 16 20
2021-02-03 918 16 20
2021-02-05 920 16 20
2021-02-07 924 16 20
2021-02-09 924 16 20
2021-02-11 931 16 20
2021-02-13 931 16 20
2021-02-15 933 16 20
2021-02-17 940 17 20
2021-02-19 942 17 20
2021-02-23 944 17 20
2021-02-25 946 17 20
2021-02-27 948 17 20
2021-03-01 952 17 20
2021-03-03 960 17 20
2021-03-05 960 17 20
2021-03-07 964 17 20
2021-03-09 964 17 20
2021-03-11 967 17 20
2021-03-13 969 17 20
2021-03-15 969 17 20
2021-03-17 972 17 20
2021-03-19 972 17 20
2021-03-21 974 17 20
2021-03-23 975 17 20
2021-03-25 975 17 20
2021-03-27 975 17 20
2021-03-29 977 17 20
2021-03-31 983 17 20
2021-04-01 983 17 20
2021-04-03 983 17 20
2021-04-05 983 17 20
2021-04-07 986 17 20
2021-04-09 986 17 20
2021-04-11 996 17 20
2021-04-13 1001 17 20
2021-04-15 1001 17 20
2021-04-17 1003 17 20
2021-04-19 1003 17 20
2021-04-21 1008 17 20
2021-04-23 1008 17 20
2021-04-25 1009 17 20
2021-04-27 1009 17 20
2021-04-29 1014 17 21
2021-05-01 1016 17 21
2021-05-03 1016 17 21
2021-05-05 1010 17 21
2021-05-07 1012 17 21
2021-05-09 1013 17 21
2021-05-13 1015 17 21
2021-05-15 1016 17 21
2021-05-17 1016 17 21
2021-05-19 1021 18 21
2021-05-21 1025 18 21
2021-05-23 1034 18 21
2021-05-25 1034 18 21
2021-05-27 1036 18 21
2021-05-29 1036 18 21
2021-05-31 1037 18 21
2021-06-01 1037 18 21
2021-06-03 1043 18 21
2021-06-05 1044 18 21
2021-06-07 1044 18 21
2021-06-09 1049 18 21
2021-06-11 1052 18 21
2021-06-13 1057 18 21
2021-06-15 1057 18 21
2021-06-17 1059 18 21
2021-06-19 1059 18 21
2021-06-21 1060 18 21
2021-06-23 1062 18 21
2021-06-25 1063 18 21
2021-06-27 1063 18 21
2021-06-29 1063 18 21
2021-07-01 1064 18 21
2021-07-03 1068 18 21
2021-07-05 1068 18 21
2021-07-07 1068 18 21
2021-07-09 1071 18 21
2021-07-11 1073 18 21
2021-07-13 1073 18 21
2021-07-15 1074 18 21
2021-07-17 1074 18 21
2021-07-19 1074 18 21
2021-07-21 1077 18 21
2021-07-23 1078 18 21
2021-07-25 1079 18 21
2021-07-27 1079 18 21
2021-07-29 1079 18 21
2021-07-31 1082 18 21
2021-08-01 1082 18 21
2021-08-03 1083 18 21
2021-08-05 1083 18 21
2021-08-07 1084 18 21
2021-08-09 1086 18 21
2021-08-11 1086 18 21
2021-08-13 1086 18 21
2021-08-15 1088 18 21
2021-08-17 1090 18 21
2021-08-21 1092 18 21
2021-08-23 1092 18 21
2021-08-27 1101 18 21
2021-08-29 1107 18 21
2021-08-31 1107 18 21
2021-09-01 1109 18 21
2021-09-03 1109 18 21
2021-09-05 1112 18 21
2021-09-07 1112 18 21
2021-09-09 1115 18 22
2021-09-11 1115 18 22
2021-09-13 1119 18 22
2021-09-15 1120 18 22
2021-09-17 1121 18 22
2021-09-19 1127 18 22
2021-09-25 1133 18 22
2021-09-27 1135 18 22
2021-09-29 1137 18 22
2021-10-01 1137 18 22
2021-10-03 1141 18 22
2021-10-05 1141 18 22
2021-10-07 1147 18 22
2021-10-09 1147 18 22
2021-10-11 1148 18 22
2021-10-13 1148 18 22
2021-10-15 1150 18 22
2021-10-17 1150 18 22
2021-10-19 1152 18 22
2021-10-21 1154 18 22
2021-10-23 1154 18 22
2021-10-25 1157 18 22
2021-10-27 1160 18 22
2021-10-29 1160 18 22
2021-10-31 1160 18 22
2021-11-01 1160 18 22
2021-11-03 1162 18 22
2021-11-05 1163 18 22
2021-11-07 1164 18 22
2021-11-09 1164 18 22
2021-11-11 1164 18 22
2021-11-13 1165 18 22
2021-11-15 1165 18 22
2021-11-17 1168 18 22
2021-11-19 1168 18 22
2021-11-21 1172 18 22
2021-11-23 1177 18 22
2021-11-25 1177 18 22
2021-11-27 1178 18 22
2021-11-29 1178 18 22
2021-12-01 1178 18 22
2021-12-03 1178 18 22
2021-12-05 1180 18 22
2021-12-07 1181 18 22
2021-12-09 1182 18 22
2021-12-11 1183 18 22
2021-12-13 1183 18 22
2021-12-15 1187 18 23
2021-12-17 1189 18 24
2021-12-19 1191 18 24
2021-12-21 1197 18 24
2021-12-23 1199 19 24
2021-12-25 1201 19 24
2021-12-27 1201 19 24
2021-12-29 1207 19 25
2021-12-31 1207 19 25
2022-01-01 1210 19 25
2022-01-03 1210 19 25
2022-01-05 1212 19 25
2022-01-07 1213 19 25
2022-01-09 1216 19 25
2022-01-11 1216 19 25
2022-01-13 1218 19 25
2022-01-15 1219 19 25
2022-01-17 1219 19 25
2022-01-19 1220 19 25
2022-01-21 1222 19 25
2022-01-23 1226 19 25
2022-01-25 1228 19 25
2022-01-27 1229 19 25
2022-01-29 1230 19 25
2022-01-31 1230 19 25
2022-02-01 1230 19 25
2022-02-03 1230 19 25
2022-02-05 1229 19 25
2022-02-07 1231 19 25
2022-02-09 1232 19 25
2022-02-11 1233 19 25
2022-02-13 1237 19 25
2022-02-15 1240 19 25
2022-02-17 1240 19 25
2022-02-19 1244 19 25
2022-02-21 1244 19 25
2022-02-23 1244 19 25
2022-02-25 1244 19 25
2022-02-27 1244 19 25
2022-03-01 1245 19 25
2022-03-03 1246 19 25
2022-03-05 1249 19 25
2022-03-07 1249 19 25
2022-03-09 1253 19 25
2022-03-11 1258 19 25
2022-03-13 1260 19 25
2022-03-15 1262 19 25
2022-03-17 1262 19 25
2022-03-19 1262 19 25
2022-03-21 1262 19 25
2022-03-23 1263 19 25
2022-03-25 1263 19 25
2022-03-27 1268 19 25
2022-03-29 1270 19 25
2022-03-31 1270 19 25
2022-04-01 1270 19 25
2022-04-03 1273 19 25
2022-04-05 1275 19 25
2022-04-07 1275 19 25
2022-04-09 1275 19 25
2022-04-11 1275 19 25
2022-04-13 1278 19 25
2022-04-15 1279 19 25
2022-04-17 1282 19 25
2022-04-19 1282 19 25
2022-04-21 1285 19 25
2022-04-23 1287 19 25
2022-04-25 1287 19 25
2022-04-27 1289 19 25
2022-04-29 1296 19 25
2022-05-01 1297 19 25
2022-05-03 1299 19 25
2022-05-05 1300 19 25
2022-05-07 1304 19 25
2022-05-09 1304 19 25
2022-05-11 1306 19 25
2022-05-13 1308 19 25
2022-05-15 1310 19 25
2022-05-17 1310 19 25
2022-05-19 1310 19 25
2022-05-21 1316 19 25
2022-05-23 1316 19 25
2022-05-25 1319 19 25
2022-05-27 1322 19 25
