# Andreas Rieckmann, Assistant professor, Section of Epidemiology, University of Copenhagen
# datestring citations hindex i10index
2016-12-31 2 none none
2017-12-31 8 none none
2018-12-31 17 none none
2019-12-31 43 none none
2020-12-31 93 none none
2021-12-31 233 none none
2022-12-03 422 8 8
2022-12-05 422 8 8
2022-12-07 426 8 8
2022-12-09 427 8 8
2022-12-11 429 8 8
2022-12-13 429 8 8
2022-12-15 436 8 8
2022-12-17 440 8 8
2022-12-19 440 8 8
2022-12-21 440 8 8
2022-12-23 441 8 8
2022-12-25 441 8 8
2022-12-27 442 8 8
2022-12-29 442 8 8
2022-12-31 444 8 8
2023-01-01 444 8 8
2023-01-03 446 8 8
2023-01-05 446 8 8
2023-01-07 447 8 8
2023-01-09 447 8 8
2023-01-11 448 8 8
2023-01-13 450 8 8
2023-01-15 451 8 8
2023-01-17 451 8 8
2023-01-19 451 8 8
2023-01-21 451 8 8
2023-01-23 450 8 8
2023-01-25 450 8 8
2023-01-27 447 8 8
2023-01-29 447 8 8
2023-01-31 450 8 8
2023-02-01 450 8 8
2023-02-03 450 8 8
2023-02-05 450 8 8
2023-02-07 452 8 8
2023-02-09 454 8 8
2023-02-11 455 8 8
2023-02-13 455 8 8
2023-02-15 464 8 8
2023-02-17 465 8 8
2023-02-19 469 8 8
2023-02-21 470 8 8
2023-02-23 472 8 8
2023-02-25 472 8 8
2023-02-27 472 8 8
2023-03-01 473 8 8
2023-03-03 474 8 8
2023-03-05 476 8 8
2023-03-07 486 8 8
2023-03-09 487 8 8
2023-03-11 489 8 8
2023-03-13 489 8 8
2023-03-15 491 8 8
2023-03-17 492 8 8
2023-03-19 493 8 8
2023-03-21 495 8 8
2023-03-23 497 8 8
2023-03-25 499 8 8
2023-03-27 499 8 8
2023-03-29 500 8 8
2023-03-31 500 8 8
2023-04-01 500 8 8
2023-04-03 500 8 8
2023-04-05 500 8 8
2023-04-07 500 8 8
2023-04-09 501 8 8
2023-04-11 505 9 8
2023-04-13 506 9 8
2023-04-15 514 9 8
2023-04-17 514 9 8
2023-04-19 515 9 8
2023-04-21 516 9 8
2023-04-23 524 9 8
2023-04-27 525 9 8
2023-04-29 527 9 8
2023-05-01 527 9 8
2023-05-03 528 9 8
2023-05-05 529 9 8
2023-05-07 531 9 8
2023-05-09 531 9 8
2023-05-11 531 9 8
2023-05-13 532 9 8
2023-05-15 532 9 8
2023-05-17 533 9 8
2023-05-19 533 9 8
2023-05-21 534 9 9
2023-05-23 534 9 9
2023-05-25 534 9 9
2023-05-27 533 9 9
2023-05-29 533 9 9
2023-05-31 536 10 10
2023-06-01 536 10 10
2023-06-03 537 10 10
2023-06-05 537 10 10
2023-06-07 537 10 10
2023-06-09 538 10 10
2023-06-11 537 10 10
2023-06-13 536 10 10
2023-06-15 544 10 10
2023-06-17 546 10 10
2023-06-19 546 10 10
2023-06-21 546 10 10
2023-06-23 547 10 10
2023-06-25 548 10 10
2023-06-27 548 10 10
2023-06-29 548 10 10
2023-07-01 548 10 10
2023-07-03 552 9 9
2023-07-05 552 9 9
2023-07-07 552 9 9
2023-07-09 552 9 9
2023-07-11 555 9 9
2023-07-13 555 9 9
2023-07-23 568 9 9
2023-07-25 568 9 9
2023-07-27 570 9 9
2023-07-29 571 9 9
2023-07-31 571 9 9
2023-08-01 574 9 9
2023-08-03 577 9 9
2023-08-05 577 9 9
2023-08-07 577 9 9
2023-08-09 579 9 9
2023-08-11 580 9 9
2023-08-13 583 9 9
2023-08-15 584 9 9
2023-08-17 584 9 9
2023-08-19 585 9 9
2023-08-21 585 9 9
2023-08-23 586 9 9
2023-08-25 586 9 9
2023-08-27 586 9 9
2023-08-29 592 9 9
2023-08-31 594 9 9
2023-09-01 594 9 9
2023-09-03 596 9 9
2023-09-05 596 9 9
2023-09-07 596 9 9
2023-09-09 598 9 9
2023-09-11 598 9 9
2023-09-13 600 9 9
2023-09-15 604 9 9
2023-09-17 608 9 9
2023-09-19 608 9 9
2023-09-21 608 9 9
2023-09-23 609 9 9
2023-09-25 610 9 9
2023-09-27 613 9 9
2023-09-29 612 9 9
2023-10-01 612 9 9
2023-10-03 616 9 9
2023-10-05 616 9 9
2023-10-07 617 9 9
2023-10-09 618 9 9
2023-10-11 618 9 9
2023-10-13 618 9 9
2023-10-15 619 9 9
2023-10-17 619 9 9
2023-10-19 621 9 9
2023-10-21 621 9 9
2023-10-23 622 9 9
2023-10-25 622 9 9
2023-10-27 627 9 9
2023-10-29 628 9 9
2023-10-31 628 9 9
2023-11-01 628 9 9
2023-11-03 628 9 9
2023-11-05 632 10 10
2023-11-07 635 10 10
2023-11-09 635 10 10
2023-11-11 636 10 10
2023-11-13 638 10 10
2023-11-15 640 10 10
2023-11-17 640 10 10
2023-11-19 640 10 10
2023-11-21 640 10 10
2023-11-23 642 10 10
2023-11-25 643 10 10
2023-11-27 643 10 10
2023-11-29 644 10 10
2023-12-01 644 10 10
2023-12-03 654 10 10
2023-12-05 655 10 10
2023-12-07 657 10 10
2023-12-09 661 10 10
2023-12-11 661 10 10
2023-12-13 663 10 10
2023-12-15 664 10 10
2023-12-17 665 10 10
2023-12-19 665 10 10
2023-12-21 669 10 10
2023-12-23 673 10 10
2023-12-25 675 10 10
2023-12-27 675 10 10
2023-12-29 676 10 10
2023-12-31 677 10 10
2024-01-01 677 10 10
2024-01-03 677 10 10
2024-01-05 677 10 10
2024-01-07 679 10 10
2024-01-09 679 10 10
2024-01-11 679 10 10
2024-01-13 681 10 10
2024-01-15 680 10 10
2024-01-17 682 10 10
2024-01-19 683 10 10
2024-01-21 683 10 10
2024-01-25 684 10 10
2024-01-29 685 10 10
2024-01-31 685 10 10
2024-02-07 691 10 10
2024-02-09 691 10 10
2024-02-11 692 10 10
2024-02-13 692 10 10
2024-02-15 692 10 10
2024-02-17 697 10 10
2024-02-19 697 10 10
2024-02-21 697 10 10
2024-02-23 701 10 10
2024-02-25 703 10 10
2024-02-27 704 10 10
2024-02-29 705 10 10
2024-03-01 705 10 10
2024-03-03 706 10 10
2024-03-05 706 10 10
2024-03-07 706 10 10
2024-03-09 706 10 10
2024-03-11 707 10 11
2024-03-13 709 10 11
2024-03-15 712 10 11
2024-03-17 715 10 11
2024-03-19 716 10 11
2024-03-21 717 10 11
2024-03-23 717 10 11
2024-03-25 720 10 11
2024-03-27 720 10 11
2024-03-29 721 10 11
2024-03-31 721 10 11
2024-04-01 726 10 11
2024-04-05 726 10 11
2024-04-07 733 10 11
2024-04-09 739 10 11
2024-04-11 738 10 11
2024-04-13 741 10 11
2024-04-17 745 10 11
2024-04-19 746 10 11
2024-04-21 748 10 11
2024-04-23 749 10 12
2024-04-25 749 10 12
2024-04-27 749 10 12
2024-04-29 749 10 12
2024-05-01 752 10 12
2024-05-03 755 10 12
2024-05-05 757 10 13
2024-05-07 758 10 13
2024-05-09 758 10 13
2024-05-11 758 10 13
2024-05-13 759 10 13
2024-05-15 760 10 13
2024-05-17 761 10 13
2024-05-19 763 10 13
2024-05-21 766 10 13
2024-05-23 765 10 13
2024-05-25 767 11 13
2024-05-27 768 11 13
2024-05-29 769 11 13
2024-05-31 771 11 14
2024-06-01 771 11 14
2024-06-03 776 11 14
2024-06-05 776 11 14
2024-06-07 779 11 14
2024-06-09 780 11 14
2024-06-11 782 11 14
2024-06-13 783 11 14
2024-06-15 785 11 14
2024-06-17 789 11 14
2024-06-19 789 11 14
2024-06-21 791 11 14
2024-06-23 792 11 14
2024-06-25 792 11 14
2024-06-27 792 11 14
2024-06-29 797 12 14
2024-07-01 801 12 14
2024-07-03 801 12 14
2024-07-05 802 12 14
2024-07-07 808 12 15
2024-07-09 810 12 15
2024-07-11 810 12 15
2024-07-13 811 12 15
2024-07-15 812 12 15
2024-07-17 813 12 15
2024-07-19 817 12 15
2024-07-21 819 12 15
2024-07-29 825 12 15
2024-07-31 827 12 15
2024-08-01 827 12 15
2024-08-03 828 12 15
2024-08-05 829 12 15
2024-08-07 829 12 15
2024-08-09 830 12 16
2024-08-11 830 12 16
2024-08-13 831 12 16
2024-08-15 831 12 16
2024-08-17 832 12 16
2024-08-19 833 12 16
2024-08-21 833 12 16
2024-08-23 835 12 17
2024-08-25 837 12 17
2024-08-27 838 12 17
2024-08-29 843 12 17
2024-08-31 844 12 17
2024-09-01 844 12 17
2024-09-03 850 12 17
2024-09-05 850 12 17
2024-09-07 852 12 17
2024-09-09 854 12 17
2024-09-11 854 12 17
2024-09-13 857 12 17
2024-09-15 857 12 17
2024-09-17 859 12 17
2024-09-19 860 12 17
2024-09-21 861 12 17
2024-09-23 862 12 17
2024-09-25 863 12 17
2024-09-27 867 12 17
2024-09-29 870 12 17
2024-10-01 870 12 17
2024-10-03 870 12 17
2024-10-05 870 12 17
2024-10-07 870 12 17
2024-10-09 871 12 17
2024-10-11 875 12 17
2024-10-13 876 12 17
2024-10-15 877 12 17
2024-10-17 877 12 17
2024-10-19 880 12 18
2024-10-21 879 12 18
2024-10-23 879 12 18
2024-10-25 880 12 18
2024-10-27 881 12 18
2024-10-29 882 12 18
2024-10-31 882 12 18
2024-11-01 884 12 18
2024-11-03 887 12 18
2024-11-05 887 12 18
2024-11-07 887 12 18
2024-11-09 887 12 18
2024-11-11 891 12 18
2024-11-13 890 12 18
2024-11-15 891 12 18
2024-11-17 892 12 18
2024-11-19 895 12 18
2024-11-21 899 12 19
2024-11-23 904 12 19
2024-11-25 905 12 19
2024-11-27 906 12 19
2024-11-29 910 12 19
2024-12-01 911 13 19
2024-12-03 911 13 19
2024-12-05 910 13 19
2024-12-07 910 13 19
2024-12-09 913 13 20
2024-12-11 915 13 20
2024-12-13 917 13 20
2024-12-15 920 13 20
2024-12-17 926 13 21
2024-12-19 927 13 21
2024-12-21 929 13 21
2024-12-23 932 13 21
2024-12-25 933 13 21
2024-12-27 934 13 21
2024-12-29 937 13 21
2024-12-31 937 13 21
2025-01-01 938 13 21
2025-01-03 938 13 21
2025-01-05 939 13 21
2025-01-07 939 13 21
2025-01-09 941 13 21
2025-01-11 944 13 21
2025-01-13 948 13 21
2025-01-15 948 13 21
2025-01-17 951 13 21
2025-01-19 952 13 21
2025-01-21 952 13 21
2025-01-23 952 13 21
2025-01-25 952 13 21
2025-01-27 955 13 21
2025-01-29 955 13 21
2025-01-31 955 13 21
2025-02-01 957 13 21
2025-02-03 957 13 21
2025-02-05 964 13 22
2025-02-07 964 13 22
2025-02-09 966 13 22
2025-02-11 966 13 22
2025-02-13 966 13 22
2025-02-15 974 13 22
2025-02-17 976 13 22
2025-02-19 978 13 22
2025-02-21 978 13 22
2025-02-23 967 13 20
2025-02-25 968 13 20
2025-02-27 969 13 20
