# Brian Horsak, St. Pölten University of Applied Sciences
# datestring citations hindex i10index
2011-12-31 1 none none
2012-12-31 4 none none
2013-12-31 10 none none
2014-12-31 31 none none
2015-12-31 62 none none
2016-12-31 88 none none
2017-12-31 124 none none
2018-12-31 173 none none
2019-12-31 249 none none
2020-09-19 312 11 11
2020-09-21 312 11 11
2020-09-23 314 11 11
2020-09-25 314 11 11
2020-09-27 318 11 11
2020-09-29 318 11 11
2020-10-01 318 11 11
2020-10-03 319 11 11
2020-10-05 319 11 11
2020-10-07 319 11 11
2020-10-09 319 11 11
2020-10-11 319 11 11
2020-10-13 320 11 11
2020-10-15 320 11 11
2020-10-17 321 11 11
2020-10-19 321 11 11
2020-10-21 322 11 11
2020-10-23 322 11 11
2020-10-25 322 11 11
2020-10-27 326 11 11
2020-10-29 326 11 11
2020-10-31 328 11 11
2020-11-01 328 11 11
2020-11-03 328 11 11
2020-11-05 328 11 11
2020-11-07 328 11 11
2020-11-09 328 11 11
2020-11-11 330 11 11
2020-11-13 330 11 11
2020-11-15 330 11 11
2020-11-17 330 11 11
2020-11-19 330 11 11
2020-11-21 330 11 11
2020-11-23 332 11 11
2020-11-25 332 11 11
2020-11-27 330 11 11
2020-11-29 332 11 11
2020-12-01 334 11 11
2020-12-03 334 11 11
2020-12-05 334 11 11
2020-12-07 340 11 11
2020-12-09 342 11 11
2020-12-11 341 11 11
2020-12-13 342 11 11
2020-12-15 342 11 11
2020-12-17 343 11 11
2020-12-19 343 11 11
2020-12-21 343 11 11
2020-12-23 344 11 11
2020-12-25 344 11 11
2020-12-27 344 11 11
2020-12-29 345 11 11
2020-12-31 344 11 11
2021-01-01 344 11 11
2021-01-03 344 11 11
2021-01-05 344 11 11
2021-01-07 344 11 11
2021-01-09 345 11 11
2021-01-11 345 11 11
2021-01-13 346 11 11
2021-01-15 346 11 11
2021-01-17 346 11 11
2021-01-19 346 11 11
2021-01-21 346 11 11
2021-01-23 346 11 11
2021-01-25 343 11 11
2021-01-27 347 11 11
2021-01-29 348 11 11
2021-01-31 349 11 11
2021-02-01 349 11 11
2021-02-03 349 11 11
2021-02-05 349 11 11
2021-02-07 351 11 11
2021-02-09 351 11 11
2021-02-11 353 11 11
2021-02-13 356 11 11
2021-02-15 357 11 11
2021-02-17 357 11 11
2021-02-19 358 11 11
2021-02-23 358 11 11
2021-02-25 359 11 11
2021-02-27 362 11 11
2021-03-01 362 11 11
2021-03-03 362 11 11
2021-03-05 362 11 11
2021-03-07 363 11 11
2021-03-09 367 11 12
2021-03-11 367 11 12
2021-03-13 370 11 12
2021-03-15 370 11 12
2021-03-17 373 11 13
2021-03-19 373 11 13
2021-03-21 374 11 13
2021-03-23 375 11 13
2021-03-25 375 11 13
2021-03-27 375 11 13
2021-03-29 376 11 13
2021-03-31 376 11 13
2021-04-01 376 11 13
2021-04-03 376 11 13
2021-04-05 376 11 13
2021-04-07 379 11 13
2021-04-09 379 11 13
2021-04-11 379 11 13
2021-04-13 381 11 13
2021-04-15 381 11 13
2021-04-17 381 11 13
2021-04-19 382 11 13
2021-04-21 386 11 13
2021-04-23 386 11 13
2021-04-25 386 11 13
2021-04-27 387 11 13
2021-04-29 387 11 13
2021-05-01 387 11 13
2021-05-03 387 11 13
2021-05-05 388 11 13
2021-05-07 388 11 13
2021-05-09 388 11 13
2021-05-13 390 11 13
2021-05-15 390 11 13
2021-05-17 390 11 13
2021-05-19 393 11 13
2021-05-21 392 11 13
2021-05-23 393 11 13
2021-05-25 393 11 13
2021-05-27 397 11 13
2021-05-29 397 11 13
2021-05-31 397 11 13
2021-06-01 399 11 13
2021-06-03 399 11 13
2021-06-05 400 11 13
2021-06-07 400 11 13
2021-06-09 400 11 13
2021-06-11 401 11 13
2021-06-13 402 11 13
2021-06-15 402 11 13
2021-06-17 403 11 13
2021-06-19 403 11 13
2021-06-21 405 11 13
2021-06-23 405 11 13
2021-06-25 405 11 13
2021-06-27 405 11 13
2021-06-29 405 11 13
2021-07-01 400 11 13
2021-07-03 404 11 13
2021-07-05 405 11 13
2021-07-07 406 11 13
2021-07-09 408 11 13
2021-07-11 408 11 13
2021-07-13 409 11 13
2021-07-15 410 11 13
2021-07-17 410 11 13
2021-07-19 410 11 13
2021-07-21 410 11 13
2021-07-23 411 11 13
2021-07-25 412 11 13
2021-07-27 413 11 13
2021-07-29 413 11 13
2021-07-31 414 11 13
2021-08-01 415 11 13
2021-08-03 415 11 13
2021-08-05 415 11 13
2021-08-07 417 11 13
2021-08-09 418 11 13
2021-08-11 419 11 13
2021-08-13 419 11 13
2021-08-15 419 11 13
2021-08-17 421 11 13
2021-08-21 423 11 13
2021-08-23 423 11 13
2021-08-27 423 11 13
2021-08-29 424 12 13
2021-08-31 424 12 13
2021-09-01 424 12 13
2021-09-03 424 12 13
2021-09-05 425 12 13
2021-09-07 425 12 13
2021-09-09 429 12 13
2021-09-11 430 12 13
2021-09-13 431 12 13
2021-09-15 435 12 14
2021-09-17 439 12 14
2021-09-19 439 12 14
2021-09-25 438 12 14
2021-09-27 440 12 14
2021-09-29 440 12 14
2021-10-01 439 12 14
2021-10-03 440 12 14
2021-10-05 442 12 15
2021-10-07 442 12 15
2021-10-09 443 12 15
2021-10-11 444 12 15
2021-10-13 445 12 15
2021-10-15 445 12 15
2021-10-17 445 12 15
2021-10-19 447 12 16
2021-10-21 447 12 16
2021-10-23 447 12 16
2021-10-25 448 12 16
2021-10-27 448 12 16
2021-10-29 448 12 16
2021-10-31 448 12 16
2021-11-01 448 12 16
2021-11-03 449 12 17
2021-11-05 449 12 17
2021-11-07 449 12 17
2021-11-09 449 12 17
2021-11-11 449 12 17
2021-11-13 450 12 17
2021-11-15 450 12 17
2021-11-17 450 12 17
2021-11-19 450 12 17
2021-11-21 451 12 17
2021-11-23 452 12 18
2021-11-25 452 12 18
2021-11-27 450 12 18
2021-11-29 450 12 18
2021-12-01 451 12 18
2021-12-03 454 12 18
2021-12-05 455 12 18
2021-12-07 457 12 18
2021-12-09 457 12 18
2021-12-11 457 12 18
2021-12-13 458 12 18
2021-12-15 458 12 18
2021-12-17 458 12 18
2021-12-19 459 12 18
2021-12-21 459 12 18
2021-12-23 459 12 18
2021-12-25 464 12 18
2021-12-27 464 12 18
2021-12-29 465 12 18
2021-12-31 465 12 18
2022-01-01 463 12 18
2022-01-03 463 12 18
2022-01-05 466 12 18
2022-01-07 467 12 18
2022-01-09 466 12 18
2022-01-11 465 12 18
2022-01-13 466 12 18
2022-01-15 466 12 18
2022-01-17 466 12 18
2022-01-19 467 12 18
2022-01-21 467 12 18
