# Marina Marie-Claire Höhne (née Vidovic), Post Doc machine learning, TU Berlin
# datestring citations hindex i10index
2014-12-31 1 none none
2015-12-31 3 none none
2016-12-31 10 none none
2017-12-31 38 none none
2018-12-31 61 none none
2019-12-31 99 none none
2020-09-19 129 5 4
2020-09-21 129 5 4
2020-09-23 129 5 4
2020-09-25 129 5 4
2020-09-27 128 5 4
2020-09-29 129 5 4
2020-10-01 129 5 4
2020-10-03 129 5 4
2020-10-05 130 5 4
2020-10-07 131 5 4
2020-10-09 131 5 4
2020-10-11 131 5 4
2020-10-13 131 5 4
2020-10-15 131 5 4
2020-10-17 131 5 4
2020-10-19 131 5 4
2020-10-21 131 5 4
2020-10-23 131 5 4
2020-10-25 126 5 2
2020-10-27 132 5 4
2020-10-29 132 5 4
