# Marina Marie-Claire Höhne (née Vidovic), Technical University of Berlin Machine Learning
# datestring citations hindex i10index
2014-12-31 1 none none
2015-12-31 3 none none
2016-12-31 11 none none
2017-12-31 39 none none
2018-12-31 62 none none
2019-12-31 104 none none
2020-12-31 142 none none
2021-04-11 160 5 5
2021-04-13 160 5 5
2021-04-15 160 5 5
2021-04-17 160 5 5
2021-04-19 160 5 5
2021-04-21 160 5 5
2021-04-23 160 5 5
2021-04-25 160 5 5
2021-04-27 160 5 5
2021-04-29 160 5 5
2021-05-01 160 5 5
2021-05-03 160 5 5
2021-05-05 161 5 5
2021-05-07 161 5 5
2021-05-09 162 5 5
2021-05-13 162 5 5
2021-05-15 163 5 5
2021-05-17 163 5 5
2021-05-19 164 5 5
2021-05-21 163 5 5
2021-05-23 163 5 5
2021-05-25 165 5 5
2021-05-27 165 5 5
2021-05-29 166 5 5
2021-05-31 168 6 5
2021-06-01 168 6 5
2021-06-03 169 6 5
