# Matthias Zeppelzauer, Senior Researcher, St. Pölten University of Applied Sciences
# datestring citations hindex i10index
2006-12-31 3 none none
2007-12-31 8 none none
2008-12-31 19 none none
2009-12-31 33 none none
2010-12-31 55 none none
2011-12-31 92 none none
2012-12-31 129 none none
2013-12-31 172 none none
2014-12-31 252 none none
2015-12-31 353 none none
2016-12-31 455 none none
2017-12-31 567 none none
2018-12-31 740 none none
2019-12-31 935 none none
2020-09-19 1087 17 32
2020-09-21 1087 17 32
2020-09-23 1088 17 32
2020-09-25 1086 17 32
2020-09-27 1093 17 32
2020-09-29 1095 17 32
2020-10-01 1095 17 32
2020-10-03 1096 17 32
2020-10-05 1096 17 32
2020-10-07 1100 17 32
2020-10-09 1102 17 32
2020-10-11 1102 17 32
2020-10-13 1104 17 32
