# Reduan Achtibat, Explainable AI Group, Fraunhofer Heinrich Hertz Institute
# datestring citations hindex i10index
2022-10-27 4 1 0
2022-10-29 4 1 0
2022-10-31 4 1 0
2022-11-01 4 1 0
2022-11-03 5 2 0
2022-11-05 5 2 0
2022-11-07 5 2 0
2022-11-09 5 2 0
2022-11-11 5 2 0
2022-11-13 5 2 0
2022-11-15 5 2 0
2022-11-17 5 2 0
2022-11-19 5 2 0
2022-11-21 5 2 0
2022-11-23 5 2 0
2022-11-25 6 2 0
2022-11-27 6 2 0
2022-11-29 6 2 0
2022-12-01 6 2 0
2022-12-03 6 2 0
2022-12-05 6 2 0
2022-12-07 6 2 0
2022-12-09 6 2 0
2022-12-11 6 2 0
2022-12-13 6 2 0
2022-12-15 6 2 0
2022-12-17 6 2 0
2022-12-19 6 2 0
2022-12-21 7 2 0
2022-12-23 7 2 0
2022-12-25 7 2 0
2022-12-27 7 2 0
2022-12-29 7 2 0
2022-12-31 7 2 0
2023-01-01 7 2 0
2023-01-03 7 2 0
2023-01-05 7 2 0
2023-01-07 8 2 0
2023-01-09 8 2 0
2023-01-11 8 2 0
2023-01-13 8 2 0
2023-01-15 9 2 0
2023-01-17 9 2 0
2023-01-19 9 2 0
2023-01-21 9 2 0
2023-01-23 9 2 0
2023-01-25 9 2 0
2023-01-27 9 2 0
2023-01-29 9 2 0
2023-01-31 9 2 0
2023-02-01 9 2 0
2023-02-03 9 2 0
2023-02-05 10 2 0
2023-02-07 10 2 0
2023-02-09 10 2 0
2023-02-11 10 2 0
2023-02-13 10 2 0
2023-02-15 10 2 0
2023-02-17 10 2 0
2023-02-19 10 2 0
2023-02-21 10 2 0
2023-02-23 10 2 0
2023-02-25 10 2 0
2023-02-27 10 2 0
2023-03-01 10 2 0
2023-03-03 10 2 0
2023-03-05 10 2 0
2023-03-07 10 2 0
2023-03-09 10 2 0
2023-03-11 10 2 0
2023-03-13 10 2 0
2023-03-15 10 2 0
2023-03-17 12 2 0
2023-03-19 12 2 0
2023-03-21 12 2 0
2023-03-23 12 2 0
2023-03-25 13 2 0
2023-03-27 13 2 0
2023-03-29 15 2 0
2023-03-31 15 2 0
2023-04-01 16 2 1
2023-04-03 16 2 1
2023-04-05 16 2 1
2023-04-07 16 2 1
2023-04-09 16 2 1
2023-04-11 16 2 1
2023-04-13 16 2 1
2023-04-15 17 2 1
2023-04-17 17 2 1
2023-04-19 17 2 1
2023-04-21 17 2 1
2023-04-23 17 2 1
2023-04-27 19 2 1
2023-04-29 20 2 1
2023-05-01 20 2 1
