# Shinichi Nakajima, Machine Learning Group, Technische Universität Berlin
# datestring citations hindex i10index
2004-12-31 14 none none
2005-12-31 18 none none
2006-12-31 33 none none
2007-12-31 50 none none
2008-12-31 74 none none
2009-12-31 129 none none
2010-12-31 221 none none
2011-12-31 333 none none
2012-12-31 482 none none
2013-12-31 634 none none
2014-12-31 815 none none
2015-12-31 997 none none
2016-12-31 1192 none none
2017-12-31 1404 none none
2018-12-31 1664 none none
2019-12-31 1936 none none
2020-09-19 2165 17 27
2020-09-21 2165 17 27
2020-09-23 2164 17 27
2020-09-25 2165 17 27
2020-09-27 2171 17 27
2020-09-29 2176 17 28
2020-10-01 2176 17 28
2020-10-03 2176 17 28
2020-10-05 2178 17 28
2020-10-07 2181 17 28
2020-10-09 2181 17 28
2020-10-11 2184 17 28
2020-10-13 2186 17 28
2020-10-15 2186 17 28
2020-10-17 2186 17 28
2020-10-19 2186 17 28
2020-10-21 2190 17 28
2020-10-23 2190 17 28
2020-10-25 2189 17 28
2020-10-27 2193 17 28
2020-10-29 2193 17 28
2020-10-31 2194 17 28
2020-11-01 2194 17 28
2020-11-03 2201 17 28
2020-11-05 2202 17 28
2020-11-07 2206 17 28
2020-11-09 2206 17 28
2020-11-11 2215 17 28
2020-11-13 2215 17 28
2020-11-15 2218 17 28
2020-11-17 2224 17 29
2020-11-19 2224 17 29
2020-11-21 2226 17 30
2020-11-23 2230 17 30
2020-11-25 2229 17 30
2020-11-27 2230 17 30
2020-11-29 2233 17 30
2020-12-01 2235 17 30
2020-12-03 2236 17 30
2020-12-05 2238 17 29
2020-12-07 2238 17 29
2020-12-09 2246 17 30
2020-12-11 2249 17 30
2020-12-13 2251 17 30
2020-12-15 2243 17 29
2020-12-17 2243 17 29
2020-12-19 2253 17 30
2020-12-21 2253 17 30
2020-12-23 2261 17 30
2020-12-25 2261 17 30
2020-12-27 2262 17 30
2020-12-29 2265 17 30
2020-12-31 2262 17 30
2021-01-01 2262 17 30
2021-01-03 2268 17 31
2021-01-05 2268 17 31
2021-01-07 2270 17 31
2021-01-09 2275 18 31
2021-01-11 2275 18 31
2021-01-13 2281 18 31
2021-01-15 2284 18 31
2021-01-17 2286 18 31
2021-01-19 2286 18 31
2021-01-21 2286 18 31
2021-01-23 2286 18 31
2021-01-25 2342 18 31
2021-01-27 2344 18 31
2021-01-29 2344 18 31
2021-01-31 2346 18 31
2021-02-01 2351 18 31
2021-02-03 2351 18 31
2021-02-05 2352 18 31
2021-02-07 2355 18 31
2021-02-09 2355 18 31
2021-02-11 2358 19 31
2021-02-13 2360 19 31
2021-02-15 2364 19 31
2021-02-17 2367 19 31
2021-02-19 2367 19 31
2021-02-23 2371 19 31
2021-02-25 2378 19 31
2021-02-27 2379 19 31
2021-03-01 2382 19 31
2021-03-03 2384 19 31
2021-03-05 2384 19 31
2021-03-07 2389 19 31
2021-03-09 2389 19 31
2021-03-11 2390 19 31
2021-03-13 2393 19 31
2021-03-15 2393 19 31
2021-03-17 2396 19 32
2021-03-19 2396 19 32
2021-03-21 2399 19 32
2021-03-23 2402 19 32
2021-03-25 2402 19 32
2021-03-27 2402 19 32
2021-03-29 2407 19 31
2021-03-31 2411 19 32
2021-04-01 2411 19 32
2021-04-03 2413 19 31
2021-04-05 2413 19 31
2021-04-07 2421 19 32
2021-04-09 2421 19 32
2021-04-11 2423 19 32
2021-04-13 2425 19 32
2021-04-15 2426 19 32
2021-04-17 2427 19 32
2021-04-19 2427 19 32
2021-04-21 2431 19 32
2021-04-23 2431 19 32
2021-04-25 2433 19 32
2021-04-27 2433 19 32
2021-04-29 2439 19 33
2021-05-01 2440 19 33
2021-05-03 2440 19 33
2021-05-05 2444 19 33
2021-05-07 2446 19 33
2021-05-09 2448 19 33
2021-05-13 2454 19 33
2021-05-15 2457 19 33
2021-05-17 2457 19 33
2021-05-19 2463 19 33
2021-05-21 2462 19 33
2021-05-23 2464 19 33
2021-05-25 2464 19 33
2021-05-27 2467 19 34
2021-05-29 2468 19 34
2021-05-31 2475 19 34
2021-06-01 2475 19 34
2021-06-03 2484 19 34
2021-06-05 2487 19 34
2021-06-07 2487 19 34
2021-06-09 2488 19 34
2021-06-11 2489 19 34
2021-06-13 2491 19 34
2021-06-15 2491 19 34
2021-06-17 2496 19 34
2021-06-19 2496 19 34
2021-06-21 2500 19 34
2021-06-23 2501 19 34
2021-06-25 2501 19 34
2021-06-27 2501 19 34
2021-06-29 2501 19 34
2021-07-01 2469 19 33
2021-07-03 2475 19 33
2021-07-05 2478 19 33
2021-07-07 2478 19 33
2021-07-09 2486 19 33
2021-07-11 2492 19 33
2021-07-13 2492 19 33
2021-07-15 2492 19 33
2021-07-17 2492 19 33
2021-07-19 2496 19 33
2021-07-21 2499 19 33
2021-07-23 2499 19 33
2021-07-25 2501 19 34
2021-07-27 2501 19 34
2021-07-29 2504 19 34
2021-07-31 2504 19 34
2021-08-01 2507 19 34
2021-08-03 2512 19 34
2021-08-05 2512 19 34
2021-08-07 2513 19 34
2021-08-09 2519 19 34
2021-08-11 2518 19 34
2021-08-13 2519 19 34
2021-08-15 2519 19 34
2021-08-17 2521 19 34
2021-08-21 2525 19 34
2021-08-23 2525 19 34
2021-08-27 2530 19 34
2021-08-29 2535 19 34
2021-08-31 2535 19 34
2021-09-01 2537 19 34
2021-09-03 2537 19 34
2021-09-05 2539 19 34
2021-09-07 2539 19 34
2021-09-09 2540 19 34
2021-09-11 2540 19 34
2021-09-13 2541 19 34
