# Markus Wenzel, Fraunhofer Heinrich-Hertz-Institut, Berlin
# datestring citations hindex i10index
2012-12-31 3 none none
2013-12-31 20 none none
2014-12-31 35 none none
2015-12-31 54 none none
2016-12-31 84 none none
2017-12-31 160 none none
2018-12-31 228 none none
2019-12-31 299 none none
2020-09-17 373 9 8
2020-09-19 374 9 8
2020-09-21 374 9 8
2020-09-23 377 9 8
2020-09-25 377 9 8
2020-09-27 377 9 8
2020-09-29 379 9 8
2020-10-01 379 9 8
2020-10-03 379 9 8
2020-10-05 379 9 8
2020-10-07 379 9 8
2020-10-09 379 9 8
2020-10-11 379 9 8
2020-10-13 381 9 8
2020-10-15 381 9 8
2020-10-17 384 9 8
2020-10-19 384 9 8
2020-10-21 385 9 8
2020-10-23 386 9 9
2020-10-25 386 9 9
2020-10-27 386 9 9
2020-10-29 386 9 9
2020-10-31 388 9 9
2020-11-01 388 9 9
2020-11-03 390 9 9
2020-11-05 390 9 9
2020-11-07 392 9 9
2020-11-09 392 9 9
2020-11-11 393 9 9
2020-11-13 394 9 9
2020-11-15 397 9 9
2020-11-17 397 9 9
2020-11-19 397 9 9
2020-11-21 397 9 9
2020-11-23 399 9 9
2020-11-25 400 9 9
2020-11-27 400 9 9
2020-11-29 401 9 9
2020-12-01 402 9 9
2020-12-03 403 9 9
2020-12-05 404 9 9
2020-12-07 404 9 9
2020-12-09 407 10 10
2020-12-11 407 10 10
2020-12-13 408 10 10
2020-12-15 408 10 10
2020-12-17 408 10 10
