# Maximilian Alber, TU Berlin
# datestring citations hindex i10index
2017-12-31 15 none none
2018-12-31 92 none none
2019-12-31 293 none none
2020-09-19 491 7 6
2020-09-21 491 7 6
2020-09-23 493 7 6
2020-09-25 493 7 6
2020-09-27 498 7 6
2020-09-29 501 7 6
2020-10-01 501 7 6
2020-10-03 501 7 6
2020-10-05 505 7 6
2020-10-07 509 7 6
2020-10-09 511 7 6
2020-10-11 514 7 6
2020-10-13 518 7 6
2020-10-15 518 7 6
2020-10-17 523 7 6
2020-10-19 523 7 6
2020-10-21 527 7 6
2020-10-23 527 7 6
2020-10-25 530 8 6
2020-10-27 534 8 6
2020-10-29 534 8 6
2020-10-31 538 8 6
2020-11-01 538 8 6
2020-11-03 541 8 6
2020-11-05 546 8 6
2020-11-07 547 8 6
2020-11-09 547 8 6
2020-11-11 552 8 6
2020-11-13 552 8 6
2020-11-15 553 8 6
2020-11-17 562 8 6
2020-11-19 562 8 6
2020-11-21 561 8 6
2020-11-23 568 8 6
2020-11-25 570 8 6
2020-11-27 571 8 6
2020-11-29 573 8 6
2020-12-01 572 8 6
2020-12-03 572 8 6
2020-12-05 572 8 6
2020-12-07 575 8 6
2020-12-09 582 8 6
2020-12-11 583 8 6
2020-12-13 588 8 6
2020-12-15 588 8 6
2020-12-17 587 8 6
2020-12-19 591 8 6
2020-12-21 591 8 6
2020-12-23 595 8 6
2020-12-25 599 8 6
2020-12-27 598 8 6
2020-12-29 603 8 6
2020-12-31 600 8 6
2021-01-01 600 8 6
2021-01-03 607 8 6
2021-01-05 609 8 6
2021-01-07 612 8 6
2021-01-09 615 8 6
2021-01-11 615 8 6
2021-01-13 616 8 6
2021-01-15 620 8 6
2021-01-17 620 8 6
2021-01-19 620 8 6
2021-01-21 620 8 6
2021-01-23 620 8 6
2021-01-25 624 7 5
2021-01-27 630 7 5
2021-01-29 630 7 5
2021-01-31 631 7 5
2021-02-01 636 7 5
2021-02-03 636 7 5
2021-02-05 636 7 5
2021-02-07 637 7 5
2021-02-09 637 7 5
2021-02-11 639 7 5
2021-02-13 643 7 5
2021-02-15 643 7 5
2021-02-17 644 7 5
2021-02-19 644 7 5
2021-02-23 648 7 5
2021-02-25 648 7 5
2021-02-27 653 7 5
2021-03-01 655 7 5
2021-03-03 659 7 5
2021-03-05 660 7 5
2021-03-07 661 7 5
2021-03-09 666 7 5
2021-03-11 666 7 5
2021-03-13 666 7 5
2021-03-15 666 7 5
2021-03-17 669 7 5
2021-03-19 669 7 5
2021-03-21 673 8 5
2021-03-23 681 8 5
2021-03-25 681 8 5
2021-03-27 681 8 5
2021-03-29 689 8 5
2021-03-31 694 8 5
2021-04-01 694 8 5
2021-04-03 696 8 5
2021-04-05 696 8 5
2021-04-07 715 9 6
