# Paul Prasse, University of Potsdam
# datestring citations hindex i10index
2013-12-31 3 none none
2014-12-31 4 none none
2015-12-31 8 none none
2016-12-31 18 none none
2017-12-31 28 none none
2018-12-31 41 none none
2019-12-31 56 none none
2020-12-31 89 none none
2021-12-31 130 none none
2022-12-03 217 8 7
2022-12-05 217 8 7
2022-12-07 218 8 7
2022-12-09 219 8 7
2022-12-11 222 8 7
2022-12-13 222 8 7
2022-12-15 222 8 7
2022-12-17 222 8 7
2022-12-19 222 8 7
2022-12-21 222 8 7
2022-12-23 222 8 7
2022-12-25 223 8 7
2022-12-27 225 8 7
2022-12-29 225 8 7
2022-12-31 225 8 7
2023-01-01 225 8 7
2023-01-03 226 8 7
2023-01-05 226 8 7
2023-01-07 226 8 7
2023-01-09 226 8 7
2023-01-11 226 8 7
2023-01-13 226 8 7
2023-01-15 226 8 7
2023-01-17 229 8 7
2023-01-19 229 8 7
2023-01-21 229 8 7
2023-01-23 232 8 8
2023-01-25 232 8 8
2023-01-27 230 8 8
2023-01-29 232 8 8
2023-01-31 232 8 8
2023-02-01 232 8 8
2023-02-03 232 8 8
2023-02-05 233 8 8
2023-02-07 233 8 8
2023-02-09 234 8 8
2023-02-11 234 8 8
2023-02-13 234 8 8
2023-02-15 236 8 8
2023-02-17 236 8 8
2023-02-19 236 8 8
2023-02-21 236 8 8
2023-02-23 236 8 8
2023-02-25 236 8 8
2023-02-27 236 8 8
2023-03-01 236 8 8
2023-03-03 236 8 8
2023-03-05 236 8 8
2023-03-07 236 8 8
2023-03-09 236 8 8
2023-03-11 236 8 8
2023-03-13 236 8 8
2023-03-15 237 8 8
2023-03-17 237 8 8
2023-03-19 237 8 8
2023-03-21 237 8 8
2023-03-23 238 8 8
2023-03-25 238 8 8
2023-03-27 238 8 8
2023-03-29 241 8 8
2023-03-31 242 8 8
2023-04-01 243 8 8
2023-04-03 243 8 8
2023-04-05 246 8 8
