# Leander Weber, Fraunhofer Heinrich-Hertz-Institut
# datestring citations hindex i10index
2020-11-15 3 1 0
2020-11-17 3 1 0
2020-11-19 3 1 0
2020-11-21 3 1 0
2020-11-23 4 1 0
2020-11-25 4 1 0
2020-11-27 4 1 0
2020-11-29 4 1 0
2020-12-01 4 1 0
2020-12-03 4 1 0
2020-12-05 4 1 0
2020-12-07 4 1 0
2020-12-09 4 1 0
2020-12-11 4 1 0
2020-12-13 4 1 0
2020-12-15 4 1 0
2020-12-17 4 1 0
2020-12-19 4 1 0
2020-12-21 4 1 0
2020-12-23 4 1 0
2020-12-25 4 1 0
2020-12-27 4 1 0
2020-12-29 4 1 0
2020-12-31 4 1 0
2021-01-01 4 1 0
2021-01-03 4 1 0
2021-01-05 4 1 0
2021-01-07 4 1 0
2021-01-09 4 1 0
2021-01-11 4 1 0
2021-01-13 4 1 0
2021-01-15 4 1 0
2021-01-17 4 1 0
2021-01-19 4 1 0
2021-01-21 4 1 0
2021-01-23 4 1 0
2021-01-25 5 1 0
2021-01-27 5 1 0
2021-01-29 5 1 0
2021-01-31 5 1 0
2021-02-01 5 1 0
2021-02-03 5 1 0
2021-02-05 5 1 0
2021-02-07 5 1 0
2021-02-09 5 1 0
2021-02-11 5 1 0
2021-02-13 5 1 0
2021-02-15 5 1 0
2021-02-17 5 1 0
2021-02-19 5 1 0
2021-02-23 5 1 0
2021-02-25 5 1 0
2021-02-27 5 1 0
2021-03-01 5 1 0
2021-03-03 5 1 0
2021-03-05 5 1 0
2021-03-07 5 1 0
2021-03-09 6 1 0
2021-03-11 6 1 0
2021-03-13 6 1 0
2021-03-15 6 1 0
2021-03-17 6 1 0
2021-03-19 6 1 0
2021-03-21 6 1 0
2021-03-23 6 1 0
2021-03-25 6 1 0
2021-03-27 6 1 0
2021-03-29 6 1 0
2021-03-31 6 1 0
2021-04-01 6 1 0
