# Miriam Hägele, Technische Universität Berlin
# datestring citations hindex i10index
2016-12-31 2 none none
2017-12-31 4 none none
2018-12-31 56 none none
2019-12-31 149 none none
2020-09-19 151 4 4
2020-09-21 151 4 4
2020-09-23 151 4 4
2020-09-25 151 4 4
2020-09-27 151 4 4
2020-09-29 153 4 4
2020-10-01 153 4 4
2020-10-03 154 4 4
2020-10-05 154 4 4
2020-10-07 157 4 4
2020-10-09 157 4 4
2020-10-11 156 4 4
2020-10-13 157 4 4
2020-10-15 157 4 4
2020-10-17 157 4 4
2020-10-19 157 4 4
2020-10-21 157 4 4
2020-10-23 157 4 4
2020-10-25 158 4 4
2020-10-27 159 4 4
2020-10-29 159 4 4
2020-10-31 161 4 4
2020-11-01 161 4 4
2020-11-03 164 4 4
2020-11-05 164 4 4
2020-11-07 164 4 4
2020-11-09 164 4 4
2020-11-11 164 4 4
2020-11-13 164 4 4
2020-11-15 163 4 4
2020-11-17 164 4 4
2020-11-19 164 4 4
2020-11-21 164 4 4
2020-11-23 165 4 4
2020-11-25 167 4 4
2020-11-27 167 4 4
2020-11-29 168 4 4
2020-12-01 169 4 4
2020-12-03 169 4 4
2020-12-05 169 4 4
2020-12-07 169 4 4
2020-12-09 171 4 4
2020-12-11 172 4 4
2020-12-13 173 4 4
2020-12-15 173 4 4
2020-12-17 173 4 4
2020-12-19 173 4 4
2020-12-21 173 4 4
2020-12-23 174 4 4
2020-12-25 176 4 4
2020-12-27 175 4 4
2020-12-29 182 4 4
2020-12-31 182 4 4
2021-01-01 182 4 4
2021-01-03 183 4 4
2021-01-05 185 4 4
2021-01-07 187 4 4
2021-01-09 187 4 4
2021-01-11 187 4 4
2021-01-13 187 4 4
2021-01-15 188 4 4
2021-01-17 188 4 4
2021-01-19 188 4 4
2021-01-21 188 4 4
2021-01-23 188 4 4
2021-01-25 193 4 4
2021-01-27 195 4 4
2021-01-29 196 4 4
2021-01-31 197 4 4
2021-02-01 199 4 4
2021-02-03 199 4 4
2021-02-05 199 4 4
