# Johanna Vielhaben, Fraunhofer HHI
# datestring citations hindex i10index
2020-12-31 3 none none
2021-09-29 6 1 0
2021-10-01 6 1 0
2021-10-03 6 1 0
2021-10-05 6 1 0
2021-10-07 6 1 0
2021-10-09 6 1 0
2021-10-11 6 1 0
2021-10-13 6 1 0
2021-10-15 6 1 0
2021-10-17 6 1 0
2021-10-19 6 1 0
2021-10-21 6 1 0
2021-10-23 7 1 0
2021-10-25 7 1 0
2021-10-27 7 1 0
2021-10-29 7 1 0
2021-10-31 7 1 0
2021-11-01 7 1 0
2021-11-03 7 1 0
2021-11-05 7 1 0
2021-11-07 8 1 0
2021-11-09 8 1 0
2021-11-11 8 1 0
2021-11-13 8 1 0
2021-11-15 8 1 0
2021-11-17 8 1 0
2021-11-19 8 1 0
2021-11-21 8 1 0
2021-11-23 8 1 0
2021-11-25 8 1 0
2021-11-27 8 1 0
2021-11-29 8 1 0
2021-12-01 8 1 0
2021-12-03 8 1 0
2021-12-05 8 1 0
2021-12-07 8 1 0
2021-12-09 8 1 0
2021-12-11 8 1 0
2021-12-13 8 1 0
2021-12-15 8 1 0
2021-12-17 9 2 0
2021-12-19 10 2 0
2021-12-21 10 2 0
2021-12-23 10 2 0
2021-12-25 10 2 0
2021-12-27 10 2 0
2021-12-29 11 2 0
2021-12-31 11 2 0
2022-01-01 11 2 0
2022-01-03 11 2 0
2022-01-05 11 2 0
2022-01-07 11 2 0
2022-01-09 11 2 0
2022-01-11 11 2 0
2022-01-13 11 2 0
2022-01-15 11 2 0
2022-01-17 11 2 0
2022-01-19 11 2 0
2022-01-21 11 2 0
2022-01-23 11 2 0
2022-01-25 11 2 0
2022-01-27 11 2 0
2022-01-29 11 2 0
2022-01-31 11 2 0
2022-02-01 11 2 0
2022-02-03 11 2 0
2022-02-05 12 2 0
2022-02-07 13 3 0
2022-02-09 13 3 0
2022-02-11 13 3 0
2022-02-13 13 3 0
2022-02-15 13 3 0
2022-02-17 13 3 0
2022-02-19 13 3 0
2022-02-21 13 3 0
2022-02-23 13 3 0
2022-02-25 13 3 0
2022-02-27 13 3 0
2022-03-01 13 3 0
2022-03-03 13 3 0
2022-03-05 13 3 0
2022-03-07 13 3 0
2022-03-09 13 3 0
2022-03-11 13 3 0
2022-03-13 13 3 0
2022-03-15 14 3 0
2022-03-17 14 3 0
2022-03-19 15 3 0
2022-03-21 15 3 0
2022-03-23 15 3 0
2022-03-25 15 3 0
2022-03-27 15 3 0
2022-03-29 15 3 0
